Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R128,L vs Linette,0.0%,-,8.9%,57.1%,14.9%,20.8%,0.0%,19.7%,55.6%,0.9%,50.0%,48,43
2026 Australian Open R64,L vs Rybakina,0.0%,-,1.8%,100.0%,14.5%,22.2%,0.0%,11.8%,44.4%,1.3%,50.0%,37,3
2025 Roland Garros R128,L vs Kenin,0.0%,-,3.7%,50.0%,24.4%,30.0%,0.0%,23.1%,14.3%,0.0%,-,82,75
2025 Indian Wells R64,L vs Andreeva,0.0%,-,8.6%,50.0%,9.5%,22.2%,0.0%,8.9%,0.0%,1.4%,50.0%,30,23
2024 Tokyo R16,L vs Fernandez,0.0%,-,7.1%,75.0%,20.8%,33.3%,16.7%,12.9%,21.1%,0.0%,-,-41,-38
2024 US Open R128,L vs Gauff,0.0%,-,7.8%,37.5%,9.8%,15.4%,0.0%,16.0%,27.3%,2.0%,0.0%,53,32
2024 Cincinnati R32,L vs Swiatek,0.0%,-,3.0%,40.0%,7.8%,27.3%,100.0%,2.7%,16.7%,0.4%,0.0%,-126,-93
2024 Roland Garros R16,L vs Andreeva,0.0%,-,8.6%,63.6%,8.6%,17.4%,0.0%,6.3%,20.7%,0.3%,0.0%,-38,-67
2023 Beijing R32,L vs Swiatek,0.0%,-,5.9%,66.7%,12.0%,21.4%,0.0%,11.7%,33.3%,1.1%,0.0%,36,25
2023 Wimbledon R64,L vs Sabalenka,0.0%,-,3.0%,100.0%,11.5%,28.6%,0.0%,11.8%,16.7%,0.6%,100.0%,47,63
2023 Roland Garros R64,L vs Stephens,0.0%,-,11.2%,58.3%,11.4%,20.8%,0.0%,10.4%,33.3%,2.1%,25.0%,36,0
2023 Roland Garros R128,W vs Galfi,0.0%,-,11.0%,84.2%,13.0%,31.0%,0.0%,13.3%,53.8%,1.7%,60.0%,48,45
2023 Strasbourg R32,W vs Bai,0.0%,-,8.6%,88.2%,9.9%,7.4%,0.0%,11.6%,47.4%,1.5%,66.7%,83,39
2023 Miami R16,L vs Kvitova,0.0%,-,4.9%,100.0%,14.9%,8.3%,10.0%,15.4%,27.3%,0.0%,-,-32,0
2023 Miami R32,W vs Frech,0.0%,-,8.4%,75.0%,26.0%,38.9%,100.0%,18.2%,27.3%,0.6%,0.0%,41,56
2023 Indian Wells R16,L vs Rybakina,0.0%,-,1.6%,100.0%,17.3%,36.4%,0.0%,12.5%,11.8%,0.0%,-,92,88
2023 Indian Wells R32,W vs Kasatkina,0.0%,-,15.0%,57.1%,11.5%,18.9%,0.0%,5.9%,18.8%,0.6%,50.0%,-48,-73
2023 Austin F,L vs Kostyuk,0.0%,-,4.5%,33.3%,14.7%,12.5%,25.0%,1.2%,0.0%,0.0%,-,30,27
2023 Austin SF,W vs Volynets,0.0%,-,1.5%,100.0%,8.0%,12.8%,0.0%,7.7%,35.0%,0.0%,-,-53,-40
2023 Australian Open R128,W vs Kasatkina,0.0%,-,18.4%,87.5%,19.0%,37.5%,0.0%,6.7%,15.4%,0.5%,100.0%,110,59
Last 52 Weeks (3 matches),,0.0%,-,5.3%,60.0%,17.0%,23.3%,0.0%,17.6%,44.1%,0.8%,50.0%,54,39
Career (30 matches),,0.0%,-,7.3%,66.6%,11.6%,21.2%,17.2%,10.0%,27.6%,0.6%,36.2%,12,7
