Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R128,L vs Linette,76.1%,56.9%,11.9%,2/6,2.39,1.5%,73.2%,56.7%,12.2%,2.25,2.3%,84.0%,57.1%,12.0%,2.67,0.0%
2026 Australian Open R64,L vs Rybakina,63.8%,48.6%,6.9%,1/3,2.61,9.8%,44.1%,53.3%,8.8%,2.65,16.7%,91.7%,45.5%,4.2%,2.54,0.0%
2025 Roland Garros R128,L vs Kenin,80.0%,47.9%,13.3%,5/3,2.55,19.4%,81.4%,37.1%,7.0%,2.42,24.0%,92.9%,76.9%,35.7%,2.84,9.1%
2025 Indian Wells R64,L vs Andreeva,76.8%,50.9%,4.3%,0/3,2.33,3.8%,76.2%,53.1%,2.4%,2.47,6.7%,84.0%,47.6%,8.0%,2.15,0.0%
2024 Tokyo R16,L vs Fernandez,80.0%,42.2%,15.0%,10/2,2.50,8.8%,80.8%,45.2%,11.5%,2.69,15.0%,84.6%,36.4%,23.1%,2.24,0.0%
2024 US Open R128,L vs Gauff,57.4%,48.6%,8.2%,2/3,2.04,3.1%,59.0%,47.8%,7.7%,2.28,5.9%,75.0%,50.0%,12.5%,1.76,0.0%
2024 Cincinnati R32,L vs Swiatek,67.5%,42.3%,5.2%,4/0,2.61,0.0%,59.6%,42.9%,4.3%,2.49,0.0%,85.7%,41.7%,7.1%,2.79,0.0%
2024 Roland Garros R16,L vs Andreeva,69.8%,45.5%,4.8%,0/3,2.56,7.0%,58.8%,50.0%,5.9%,2.54,9.8%,92.3%,41.7%,3.8%,2.60,0.0%
2023 Beijing R32,L vs Swiatek,70.5%,41.9%,11.4%,2/3,2.62,4.5%,66.7%,40.0%,3.3%,2.15,10.5%,78.6%,45.5%,28.6%,2.98,0.0%
2023 Wimbledon R64,L vs Sabalenka,51.4%,51.4%,5.6%,2/2,2.24,16.1%,42.2%,36.8%,8.9%,2.41,20.9%,85.7%,66.7%,0.0%,1.86,5.3%
2023 Roland Garros R64,L vs Stephens,68.8%,45.5%,4.2%,0/2,2.32,12.0%,71.4%,36.0%,5.7%,2.48,18.8%,61.5%,75.0%,0.0%,2.03,0.0%
2023 Roland Garros R128,W vs Galfi,64.9%,62.0%,5.2%,4/0,2.50,4.3%,67.3%,57.6%,4.1%,2.47,4.8%,70.8%,70.6%,8.3%,2.54,3.7%
2023 Strasbourg R32,W vs Bai,77.1%,50.0%,4.2%,2/2,2.63,4.5%,71.2%,43.2%,3.8%,2.57,4.8%,88.1%,56.8%,4.8%,2.78,4.0%
2023 Miami R16,L vs Kvitova,65.6%,42.6%,10.8%,7/3,2.63,4.9%,61.7%,37.8%,5.0%,2.44,9.5%,92.3%,50.0%,26.9%,2.84,0.0%
2023 Miami R32,W vs Frech,78.4%,72.5%,3.9%,2/0,2.73,43.8%,86.7%,76.9%,0.0%,2.72,56.0%,70.0%,64.3%,10.0%,2.73,0.0%
2023 Indian Wells R16,L vs Rybakina,62.1%,63.9%,13.8%,4/4,2.48,0.0%,67.9%,63.2%,14.3%,2.49,0.0%,63.0%,64.7%,14.8%,2.46,0.0%
2023 Indian Wells R32,W vs Kasatkina,85.5%,59.3%,4.3%,0/3,2.55,7.8%,89.8%,58.5%,0.0%,2.58,12.2%,85.7%,66.7%,42.9%,2.50,0.0%
2023 Austin F,L vs Kostyuk,67.3%,54.3%,7.7%,1/3,2.42,9.4%,80.8%,42.9%,7.7%,2.42,6.5%,82.4%,71.4%,11.8%,2.40,16.7%
2023 Austin SF,W vs Volynets,85.7%,58.3%,3.1%,2/1,2.61,6.9%,84.3%,57.6%,1.4%,2.67,9.5%,92.6%,60.0%,7.4%,2.54,3.3%
2023 Australian Open R128,W vs Kasatkina,86.7%,64.1%,2.2%,0/1,2.06,5.3%,91.4%,62.5%,2.9%,1.72,7.4%,100.0%,71.4%,0.0%,2.90,0.0%
Last 52 Weeks (3 matches),,73.5%,51.5%,10.8%,40.0%,2.49,8.3%,67.8%,47.5%,9.3%,2.40,11.8%,88.9%,57.1%,14.3%,2.66,1.9%
Career (30 matches),,72.7%,51.5%,5.7%,53.8%,2.52,7.5%,72.3%,49.6%,4.5%,2.48,11.5%,84.4%,54.8%,8.9%,2.57,1.2%
