Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Miami QF,L vs Fils,31.8%,42.7%,68.0%,41.4%,37.7%,50.7%,74.4%,52.9%,46.7%,48.7%,-,22.0%,29.3%,59.4%,-79
2026 Indian Wells R32,L vs Fonseca,29.3%,36.2%,30.8%,33.8%,35.9%,46.2%,36.0%,42.6%,57.1%,66.7%,50.0%,17.6%,17.6%,21.4%,56
2026 Delray Beach F,L vs Korda,25.9%,37.9%,43.9%,33.1%,23.7%,39.5%,55.2%,34.7%,40.0%,30.4%,50.0%,33.3%,38.9%,16.7%,72
2026 Brisbane R32,L vs Mpetshi Perricard,41.7%,55.2%,67.3%,49.8%,38.1%,57.1%,66.7%,50.5%,42.9%,42.9%,0.0%,50.0%,53.1%,68.8%,-33
2025 Wimbledon R128,W vs Monday,38.9%,56.9%,70.7%,50.8%,43.5%,65.2%,76.9%,62.2%,54.5%,58.3%,0.0%,34.8%,47.8%,60.0%,96
2025 Roland Garros QF,L vs Alcaraz,17.2%,28.7%,41.4%,23.8%,17.5%,31.7%,46.2%,26.5%,32.1%,51.4%,50.0%,18.2%,22.7%,27.8%,47
2025 Roland Garros R32,W vs Khachanov,22.6%,37.1%,48.7%,30.9%,29.0%,48.0%,56.3%,42.1%,54.5%,39.3%,20.0%,12.7%,20.0%,37.5%,12
2025 Roland Garros R128,W vs Moller,25.4%,37.3%,50.0%,30.8%,27.0%,40.5%,50.0%,36.2%,40.6%,45.2%,60.0%,25.0%,35.4%,50.0%,37
2025 Rome SF,L vs Sinner,13.5%,23.0%,49.2%,21.5%,13.8%,25.9%,50.0%,24.0%,66.7%,35.7%,57.1%,15.4%,15.4%,45.5%,19
2025 Rome QF,W vs Hurkacz,17.6%,27.5%,54.1%,25.4%,20.8%,34.0%,66.7%,34.2%,50.0%,62.2%,66.7%,13.5%,18.9%,37.5%,-39
2025 Madrid R64,W vs Fonseca,24.5%,40.2%,55.3%,35.7%,31.4%,48.6%,60.4%,47.7%,42.4%,62.2%,50.0%,9.4%,21.9%,44.8%,-33
2025 Houston SF,L vs Brooksby,30.6%,42.3%,48.6%,34.8%,43.5%,56.5%,42.9%,51.0%,38.5%,69.4%,100.0%,15.9%,27.3%,54.1%,39
2025 Indian Wells R16,L vs Medvedev,18.2%,23.6%,34.1%,20.9%,27.0%,35.1%,33.3%,31.1%,47.1%,60.0%,66.7%,0.0%,0.0%,35.7%,-118
2025 Dallas SF,L vs Shapovalov,17.5%,33.3%,55.3%,25.6%,20.6%,44.1%,63.0%,34.1%,41.2%,52.9%,50.0%,13.0%,17.4%,45.0%,-79
2025 Australian Open QF,L vs Zverev,21.2%,35.6%,50.6%,29.7%,30.1%,49.3%,52.9%,43.8%,47.2%,51.4%,50.0%,7.3%,14.6%,47.4%,-41
2025 Australian Open R64,W vs Nishikori,30.8%,42.3%,48.6%,38.0%,41.1%,53.4%,58.1%,51.4%,38.2%,41.0%,33.3%,6.9%,17.2%,33.3%,-47
2025 Australian Open R128,W vs Oconnell,28.2%,45.0%,57.7%,39.2%,37.4%,61.5%,68.4%,55.4%,65.0%,58.8%,33.3%,14.5%,20.0%,44.7%,-1
2024 Vienna R32,L vs Nakashima,25.9%,37.6%,46.0%,34.0%,34.0%,53.2%,54.8%,48.7%,68.2%,52.0%,40.0%,15.8%,18.4%,37.5%,-79
2024 Stockholm F,W vs Dimitrov,33.3%,41.3%,51.2%,37.8%,40.0%,45.0%,41.7%,47.0%,53.3%,28.0%,33.3%,22.7%,36.4%,64.7%,-13
2024 Stockholm SF,W vs Wawrinka,15.0%,25.0%,64.7%,28.2%,17.5%,30.0%,69.7%,37.3%,71.4%,61.5%,66.7%,10.0%,15.0%,55.6%,-79
Career (99 matches),,26.6%,38.0%,52.0%,33.8%,32.9%,47.3%,56.1%,44.6%,48.3%,47.7%,44.4%,17.5%,24.6%,46.2%,24
