Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),21,1915,20,1919,20,1866,19,1850,11,1812,,,,
2025,20,2050,8,1972,12,1904,7,1924,10,1838,,,,
2024,12,3145,11,1965,12,1904,15,1866,8,1868,,,,
2023,13,2665,18,1880,17,1851,45,1739,22,1749,,,,
2022,32,1210,24,1893,23,1853,46,1742,22,1761,,,,
2021,43,1349,25,1888,26,1835,32,1782,,,,,,
2020,54,1065,45,1783,43,1742,63,1700,,,418,105,,
2019,90,611,63,1775,57,1739,72,1683,70,1641,585,60,,
2018,202,251,121,1657,111,1624,,,,,284,160,,
2017,152,361,140,1620,133,1587,187,1497,,,882,38,,
2016,282,177,330,1351,305,1337,296,1339,243,1335,309,221,,
2015,276,187,224,1501,207,1466,259,1401,,,880,42,,
2014,916,15,,,,,,,,,1685,6,,
