Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami QF,L vs Fils,65.5%,34.6%,1.7%,1/1,2.17,4.0%,61.4%,35.3%,1.2%,2.27,7.0%,79.4%,33.3%,2.9%,2.05,0.0%
2026 Indian Wells R32,L vs Fonseca,66.0%,45.5%,4.0%,1/1,2.29,17.9%,60.6%,45.0%,0.0%,2.31,28.0%,76.5%,46.2%,11.8%,2.25,0.0%
2026 Delray Beach F,L vs Korda,63.3%,42.1%,3.3%,2/0,2.73,29.3%,52.5%,33.3%,2.5%,2.71,41.4%,94.4%,52.9%,5.6%,2.79,0.0%
2026 Brisbane R32,L vs Mpetshi Perricard,50.9%,48.2%,1.8%,1/1,2.45,16.4%,46.8%,54.1%,0.0%,2.33,17.9%,70.4%,36.8%,7.4%,2.75,12.5%
2025 Wimbledon R128,W vs Monday,59.8%,57.1%,0.0%,0/0,2.41,28.9%,47.9%,56.5%,0.0%,2.35,47.8%,81.3%,57.7%,0.0%,2.53,0.0%
2025 Roland Garros QF,L vs Alcaraz,72.7%,17.5%,16.4%,4/5,2.45,4.3%,65.9%,20.7%,9.1%,2.46,5.8%,100.0%,9.1%,45.5%,2.42,0.0%
2025 Roland Garros R32,W vs Khachanov,75.8%,50.4%,4.2%,5/2,2.40,2.5%,73.1%,50.0%,2.9%,2.22,4.2%,84.5%,51.0%,6.9%,2.65,0.0%
2025 Roland Garros R128,W vs Moller,76.9%,54.8%,3.3%,1/3,2.22,4.5%,79.2%,56.1%,2.8%,2.28,7.5%,85.7%,52.8%,4.8%,2.14,0.0%
2025 Rome SF,L vs Sinner,78.7%,43.8%,3.3%,2/0,1.98,0.0%,72.7%,37.5%,4.5%,1.98,0.0%,100.0%,56.3%,0.0%,1.95,0.0%
2025 Rome QF,W vs Hurkacz,70.4%,60.0%,2.8%,2/0,2.29,9.6%,60.0%,48.1%,0.0%,2.39,14.3%,95.8%,73.9%,8.3%,2.17,3.2%
2025 Madrid R64,W vs Fonseca,69.7%,45.2%,6.7%,2/4,2.39,12.0%,69.7%,39.1%,1.5%,2.22,17.0%,76.2%,62.5%,23.8%,2.63,3.6%
2025 Houston SF,L vs Brooksby,81.7%,48.3%,5.5%,2/4,2.06,1.4%,82.4%,45.9%,4.1%,2.25,0.0%,84.8%,53.6%,9.1%,1.89,2.7%
2025 Indian Wells R16,L vs Medvedev,68.6%,45.7%,3.9%,0/2,2.31,17.1%,61.3%,47.4%,6.5%,2.28,25.9%,100.0%,43.8%,0.0%,2.36,0.0%
2025 Dallas SF,L vs Shapovalov,65.4%,43.1%,2.6%,0/2,2.48,51.1%,60.0%,36.7%,0.0%,2.26,88.9%,87.5%,52.4%,8.3%,2.73,0.0%
2025 Australian Open QF,L vs Zverev,66.7%,45.6%,3.7%,1/4,2.02,3.4%,67.7%,41.3%,2.2%,1.98,5.9%,73.0%,55.6%,8.1%,2.07,0.0%
2025 Australian Open R64,W vs Nishikori,83.7%,60.2%,6.2%,4/4,-,5.7%,89.7%,57.7%,3.4%,-,9.3%,81.1%,66.7%,13.5%,-,0.0%
2025 Australian Open R128,W vs Oconnell,76.4%,52.9%,2.2%,3/1,2.28,52.9%,70.2%,47.5%,0.0%,2.09,36.8%,88.9%,60.7%,6.3%,2.47,72.3%
2024 Vienna R32,L vs Nakashima,70.2%,40.0%,7.0%,1/3,2.40,17.5%,68.2%,36.7%,6.8%,2.21,35.5%,76.9%,50.0%,7.7%,2.58,0.0%
2024 Stockholm F,W vs Dimitrov,77.6%,55.6%,3.4%,1/1,2.62,41.5%,75.8%,52.0%,3.0%,2.54,54.2%,95.2%,60.0%,4.8%,2.74,23.5%
2024 Stockholm SF,W vs Wawrinka,72.9%,60.5%,1.7%,1/0,2.27,54.9%,63.9%,52.2%,0.0%,2.20,84.8%,95.2%,70.0%,4.8%,2.38,0.0%
Career (99 matches),,69.2%,48.5%,4.3%,51.5%,2.31,13.1%,65.0%,44.8%,3.0%,2.27,19.0%,83.9%,53.9%,7.2%,2.38,4.7%
