Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,28,18,10,64.3%,47-30,61.0%,415-353,54.0%,7-7,50.0%,28,87.2%,21.2%,9.5%,2.2%,60.1%,77.2%,57.3%,69.3%,37.0%,52.4%,1.20
Clay,17,13,4,76.5%,32-17,65.3%,254-219,53.7%,7-4,63.6%,16,78.4%,27.9%,4.4%,2.3%,62.5%,69.8%,51.4%,62.9%,38.9%,51.2%,1.05
Grass,3,1,2,33.3%,5-5,50.0%,51-46,52.6%,0-0,-,3,83.3%,22.4%,7.1%,3.2%,56.4%,76.1%,53.7%,66.3%,37.0%,51.2%,1.10
Grand Slams,14,10,4,71.4%,32-19,62.7%,270-226,54.4%,4-3,57.1%,14,84.0%,24.9%,6.5%,2.6%,60.5%,73.8%,55.8%,66.7%,37.9%,52.0%,1.14
Masters,18,12,6,66.7%,27-17,61.4%,228-199,53.4%,5-4,55.6%,18,82.2%,24.8%,6.4%,2.0%,61.2%,73.4%,54.1%,65.9%,37.6%,51.6%,1.10
Other Tours,15,9,6,60.0%,23-16,59.0%,209-184,53.2%,4-4,50.0%,15,85.6%,20.4%,9.8%,2.2%,60.5%,76.0%,54.9%,67.7%,37.4%,52.0%,1.16
Best of 5,14,10,4,71.4%,32-19,62.7%,270-226,54.4%,4-3,57.1%,14,84.0%,24.9%,6.5%,2.6%,60.5%,73.8%,55.8%,66.7%,37.9%,52.0%,1.14
Best of 3,34,22,12,64.7%,52-33,61.2%,450-392,53.4%,10-8,55.6%,33,83.8%,22.7%,8.0%,2.1%,60.9%,74.6%,54.5%,66.7%,37.5%,51.8%,1.13
Finals,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,66.7%,10.0%,8.6%,3.4%,67.2%,66.7%,36.8%,56.9%,30.0%,43.2%,0.70
Semi-finals,4,1,3,25.0%,5-7,41.7%,55-57,49.1%,0-2,0.0%,4,76.8%,22.2%,6.3%,2.6%,62.7%,65.3%,52.8%,60.6%,38.0%,49.8%,0.97
Quarter-finals,6,4,2,66.7%,9-5,64.3%,74-66,52.9%,3-2,60.0%,6,85.1%,20.6%,6.3%,1.1%,62.5%,75.1%,57.2%,68.4%,35.7%,52.2%,1.13
vs Righties,41,27,14,65.9%,72-45,61.5%,625-534,53.9%,13-11,54.2%,40,83.8%,23.9%,7.1%,2.2%,60.9%,73.9%,55.2%,66.6%,37.6%,51.9%,1.12
vs Lefties,6,4,2,66.7%,10-7,58.8%,82-77,51.6%,0-0,-,6,82.5%,20.3%,10.1%,2.9%,61.0%,75.9%,51.3%,66.3%,37.1%,51.1%,1.10
vs Top 10,6,2,4,33.3%,5-10,33.3%,58-78,42.6%,0-1,0.0%,6,70.1%,16.2%,3.5%,2.6%,65.9%,65.2%,47.1%,59.0%,31.8%,46.4%,0.78
