Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Miami QF,L vs Fils,72% (18/25),0% (0/6),1/6,0/4,100% (1/1),1/3,1/2,71% (12/17),28% (5/18)
2026 Indian Wells R32,L vs Fonseca,57% (4/7),100% (1/1),0/0,0/0,60% (6/10),1/3,0/1,- (0/0),- (0/0)
2026 Delray Beach F,L vs Korda,55% (6/11),17% (1/6),0/0,0/0,50% (3/6),1/3,1/2,- (0/0),- (0/0)
2026 Brisbane R32,L vs Mpetshi Perricard,71% (17/24),33% (1/3),1/1,0/0,100% (1/1),2/4,2/3,55% (6/11),17% (2/12)
2025 Wimbledon R128,W vs Monday,88% (14/16),67% (4/6),3/3,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2025 Roland Garros QF,L vs Alcaraz,45% (5/11),- (0/0),0/0,0/0,65% (11/17),2/5,0/1,- (0/0),- (0/0)
2025 Roland Garros R32,W vs Khachanov,58% (18/31),46% (6/13),3/3,1/1,60% (9/15),6/8,0/0,50% (4/8),63% (5/8)
2025 Roland Garros R128,W vs Moller,58% (14/24),48% (10/21),3/4,1/1,56% (5/9),2/3,0/0,33% (2/6),50% (3/6)
2025 Rome SF,L vs Sinner,50% (6/12),50% (3/6),1/1,0/0,50% (5/10),3/5,2/3,- (0/0),- (0/0)
2025 Rome QF,W vs Hurkacz,36% (8/22),44% (4/9),2/3,1/2,63% (5/8),0/0,0/0,100% (6/6),20% (1/5)
2025 Madrid R64,W vs Fonseca,65% (11/17),100% (1/1),2/3,1/1,91% (10/11),4/4,0/0,77% (10/13),46% (6/13)
2025 Houston SF,L vs Brooksby,93% (13/14),45% (5/11),1/2,0/1,56% (5/9),1/3,0/1,46% (6/13),38% (5/13)
2025 Indian Wells R16,L vs Medvedev,33% (2/6),40% (2/5),0/0,0/0,25% (2/8),2/4,2/3,- (0/0),- (0/0)
2025 Dallas SF,L vs Shapovalov,73% (8/11),0% (0/3),0/0,0/0,33% (1/3),1/3,1/2,- (0/0),- (0/0)
2025 Australian Open QF,L vs Zverev,68% (15/22),36% (4/11),1/3,0/0,43% (3/7),2/5,2/3,14% (1/7),0% (0/8)
2025 Australian Open R64,W vs Nishikori,68% (13/19),61% (11/18),3/4,1/1,20% (1/5),0/1,0/0,40% (2/5),20% (1/5)
2025 Australian Open R128,W vs Oconnell,76% (22/29),30% (6/20),3/3,1/1,75% (6/8),4/6,0/0,50% (3/6),33% (2/6)
2024 Vienna R32,L vs Nakashima,44% (8/18),0% (0/1),0/0,0/0,82% (9/11),1/3,0/1,- (0/0),- (0/0)
2024 Stockholm F,W vs Dimitrov,53% (8/15),50% (4/8),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2024 Stockholm SF,W vs Wawrinka,64% (9/14),50% (3/6),2/3,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2026 (4 matches),,67.2%,18.8%,28.6%,0.0%,61.1%,38.5%,50.0%,64.3%,23.3%
2025 (13 matches),,63.7%,45.2%,75.9%,77.8%,58.0%,57.4%,53.8%,53.1%,35.9%
2024 (30 matches),,62.0%,44.3%,64.6%,59.4%,67.4%,38.9%,31.3%,64.2%,41.5%
2023 (30 matches),,65.4%,38.7%,54.7%,46.9%,56.6%,36.1%,54.5%,64.3%,31.8%
2022 (23 matches),,67.7%,36.9%,53.6%,60.9%,63.8%,33.3%,35.7%,67.2%,32.3%
Career (191 matches),,64.6%,42.4%,58.8%,56.6%,59.9%,43.7%,50.5%,61.3%,35.9%
