Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,137,97,40,70.8%,209-100,67.6%,1660-1316,55.8%,32-19,62.7%,135,80.9%,29.7%,8.0%,5.7%,61.2%,72.7%,51.4%,64.4%,40.4%,52.4%,1.14
Clay,73,37,36,50.7%,85-78,52.1%,810-761,51.6%,11-14,44.0%,72,73.5%,29.6%,5.2%,7.6%,58.1%,69.3%,48.4%,60.5%,41.1%,50.7%,1.04
Grass,18,12,6,66.7%,26-18,59.1%,228-195,53.9%,4-3,57.1%,18,82.2%,24.1%,8.5%,4.2%,63.3%,74.5%,51.6%,66.1%,36.6%,51.9%,1.08
Finals,15,9,6,60.0%,20-13,60.6%,183-156,54.0%,3-5,37.5%,14,79.6%,25.3%,6.2%,6.8%,58.1%,72.2%,49.1%,62.5%,38.4%,50.5%,1.03
Semi-finals,24,15,9,62.5%,33-22,60.0%,281-240,53.9%,4-2,66.7%,23,78.8%,28.5%,7.2%,5.3%,62.7%,72.5%,50.2%,64.2%,39.3%,52.0%,1.10
Quarter-finals,34,24,10,70.6%,52-28,65.0%,434-359,54.7%,11-6,64.7%,34,80.4%,28.1%,8.1%,5.8%,61.0%,72.1%,51.3%,64.0%,39.5%,51.9%,1.10
vs Righties,182,114,68,62.6%,253-162,61.0%,2166-1826,54.3%,35-33,51.5%,180,78.5%,29.5%,7.3%,6.0%,60.6%,71.7%,50.4%,63.3%,40.3%,51.8%,1.10
vs Lefties,32,19,13,59.4%,41-28,59.4%,350-323,52.0%,8-3,72.7%,31,76.0%,27.1%,6.4%,6.4%,59.6%,70.6%,49.5%,62.1%,39.9%,51.1%,1.05
