Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Australian Open R128,L vs Galan,24.0%,33.7%,48.1%,29.9%,28.4%,38.5%,51.3%,37.9%,43.8%,52.5%,50.0%,17.7%,27.4%,43.1%,13
2024 Brisbane R16,L vs Nadal,15.2%,23.9%,41.7%,22.4%,17.1%,25.7%,48.3%,26.6%,60.0%,53.3%,33.3%,12.5%,25.0%,14.3%,-18
2023 Australian Open R64,L vs Khachanov,29.3%,40.7%,48.2%,37.6%,32.6%,46.5%,50.0%,44.4%,42.5%,41.3%,20.0%,22.9%,28.6%,44.4%,3
2022 Roland Garros Q2,L vs Albot,21.9%,32.8%,50.0%,27.2%,31.1%,44.4%,50.0%,39.1%,35.3%,57.1%,66.7%,4.8%,11.9%,50.0%,-71
2019 Gatineau CH F,W vs Couacaud,20.5%,37.0%,54.7%,29.2%,31.0%,52.4%,65.5%,46.0%,42.1%,47.8%,42.9%,7.7%,19.2%,41.7%,-47
2019 Australian Open R128,L vs Fabbiano,31.0%,42.1%,49.4%,38.6%,35.4%,50.6%,51.0%,47.6%,30.6%,58.1%,50.0%,29.7%,35.1%,46.2%,139
2018 Winnipeg CH F,W vs Miedler,29.7%,43.2%,65.4%,36.8%,25.9%,40.7%,65.0%,35.6%,30.8%,50.0%,-,40.0%,50.0%,66.7%,-79
2018 Playford CH F,W vs Schnur,33.3%,39.6%,51.6%,36.7%,46.2%,53.8%,57.1%,52.3%,33.3%,27.3%,100.0%,19.0%,23.8%,47.1%,-10
2014 Lima CH F,L vs Pella,16.1%,29.0%,44.4%,21.9%,23.5%,41.2%,50.0%,34.1%,50.0%,6.3%,33.3%,9.1%,18.2%,40.0%,-42
Career (9 matches),,24.9%,36.0%,49.5%,31.5%,30.5%,43.9%,52.6%,40.9%,40.7%,48.4%,48.6%,17.1%,25.1%,44.5%,47
