Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,14,5,9,35.7%,6,0,6,0.0%,2010,2026,R64,14,0.97,7.5%,4.0%,64.9%,69.8%,49.7%,62.8%,36.0%,60.7%,36.1%
Roland Garros,6,Clay,13,7,6,53.8%,9,5,4,55.6%,2015,2025,R64,12,0.95,4.2%,3.6%,68.4%,66.3%,51.1%,61.5%,36.5%,53.4%,54.2%
Wimbledon,5,Grass,18,13,5,72.2%,6,4,2,66.7%,2015,2023,R16,13,1.05,7.5%,4.3%,65.7%,74.8%,49.4%,66.0%,35.7%,64.3%,36.8%
US Open,5,Hard,9,3,6,33.3%,3,0,3,0.0%,2015,2025,R64,8,0.95,6.5%,4.1%,59.9%,70.7%,47.5%,61.4%,36.7%,66.2%,33.3%
Davis Cup,2,,3,2,1,66.7%,0,0,0,-,2022,2026,,0,,,,,,,,,,
Brisbane,2,Hard,4,1,3,25.0%,2,0,2,0.0%,2010,2024,R16,4,0.76,7.6%,4.0%,64.9%,65.4%,45.4%,58.3%,31.8%,53.8%,35.7%
Winston-Salem,2,Hard,5,3,2,60.0%,3,1,2,33.3%,2022,2023,R16,5,1.11,8.8%,3.6%,60.3%,73.5%,50.6%,64.4%,39.6%,66.7%,45.7%
Houston,3,Clay,6,3,3,50.0%,1,1,0,100.0%,2014,2023,QF,6,1.12,6.3%,3.1%,59.8%,67.7%,53.2%,61.9%,42.5%,59.5%,39.2%
Indian Wells Masters,2,Hard,4,2,2,50.0%,2,2,0,100.0%,2021,2023,R32,4,0.74,4.3%,4.7%,55.7%,73.9%,49.6%,63.1%,27.2%,40.0%,28.6%
San Diego,2,Hard,2,0,2,0.0%,0,0,0,-,2021,2022,R32,2,0.79,7.1%,7.9%,57.5%,75.3%,40.7%,60.6%,31.1%,71.4%,18.2%
Sydney,2,Hard,2,0,2,0.0%,0,0,0,-,2010,2019,Q1,2,0.78,6.8%,6.8%,66.7%,62.7%,47.5%,57.6%,32.9%,59.1%,29.4%
