Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 Australian Open R128,L vs Galan,0.6%,100.0%,11.4%,69.8%,12.9%,10.3%,0.0%,8.1%,26.8%,1.3%,40.0%,-23,-28
2024 Brisbane R16,L vs Nadal,8.9%,75.0%,12.0%,63.6%,4.8%,7.1%,0.0%,4.7%,14.3%,0.6%,0.0%,-95,-70
2023 Australian Open R64,L vs Khachanov,3.6%,75.0%,16.7%,62.5%,10.3%,12.3%,0.0%,5.7%,25.9%,1.3%,66.7%,-68,-57
2022 Roland Garros Q2,L vs Albot,0.8%,100.0%,4.9%,50.0%,12.8%,10.8%,0.0%,4.6%,19.2%,1.1%,50.0%,-69,-47
2019 Gatineau CH F,W vs Couacaud,5.9%,100.0%,21.5%,86.2%,13.5%,16.7%,0.0%,3.7%,23.1%,0.3%,0.0%,-32,-19
2019 Australian Open R128,L vs Fabbiano,0.0%,-,3.4%,44.4%,21.5%,21.9%,37.5%,10.2%,30.8%,0.4%,0.0%,-6,31
2018 Winnipeg CH F,W vs Miedler,5.9%,0.0%,27.0%,70.0%,16.7%,23.5%,50.0%,24.2%,55.6%,0.0%,-,-3,-9
2018 Playford CH F,W vs Schnur,0.0%,-,3.0%,66.7%,16.7%,25.9%,0.0%,11.1%,50.0%,0.0%,-,-54,-22
2014 Lima CH F,L vs Pella,0.0%,-,9.5%,91.7%,15.4%,15.6%,12.5%,8.5%,13.3%,0.9%,0.0%,-6,-18
Career (9 matches),,2.1%,75.0%,10.8%,69.3%,13.8%,14.7%,7.0%,7.3%,26.6%,0.9%,39.3%,-39,-27
