Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Australian Open Q1,L vs Krueger,0.0%,-,8.8%,86.7%,13.2%,18.9%,0.0%,9.6%,7.7%,0.4%,0.0%,19,-13
2022 Guadalajara R64,W vs Day,0.0%,-,7.8%,77.8%,18.7%,23.5%,33.3%,14.0%,50.0%,0.6%,0.0%,95,79
2022 Ostrava R32,L vs Bencic,0.0%,-,10.4%,54.5%,14.6%,21.7%,0.0%,21.4%,53.8%,0.5%,0.0%,-74,-56
2022 US Open Q1,L vs Naito,0.0%,-,7.0%,77.8%,13.3%,15.2%,0.0%,9.5%,25.0%,1.4%,0.0%,31,31
2021 Guadalajara F,L vs Sorribes Tormo,0.0%,-,13.7%,52.6%,12.5%,22.0%,0.0%,11.5%,36.4%,0.6%,0.0%,65,49
2020 Roland Garros R32,L vs Swiatek,0.0%,-,8.5%,55.6%,8.7%,18.2%,100.0%,12.3%,37.5%,1.9%,0.0%,-17,-18
2020 Istanbul F,L vs Tig,0.0%,-,5.2%,60.0%,14.3%,11.1%,0.0%,6.4%,21.7%,2.3%,55.6%,48,14
2020 Istanbul SF,W vs Badosa,0.0%,-,4.9%,66.7%,15.8%,30.4%,50.0%,12.7%,66.7%,1.0%,50.0%,25,41
2020 Auckland QF,L vs Anisimova,0.0%,-,7.1%,53.8%,10.6%,0.0%,0.0%,10.7%,0.0%,0.7%,50.0%,8,17
2019 Toronto R64,L vs Andreescu,0.0%,-,9.5%,56.3%,8.0%,14.3%,0.0%,6.3%,20.0%,0.0%,-,-40,-3
2019 Wimbledon R128,L vs Zidansek,0.0%,-,9.7%,71.4%,8.4%,6.1%,0.0%,11.7%,33.3%,1.3%,25.0%,49,45
2019 Dubai R32,L vs Halep,0.0%,-,11.6%,58.8%,14.0%,50.0%,0.0%,9.6%,20.0%,0.0%,-,-11,-3
2019 Dubai R64,W vs Lapko,0.0%,-,3.4%,50.0%,5.8%,16.7%,0.0%,2.6%,20.0%,0.0%,-,13,45
2019 Australian Open R128,W vs Peng,0.0%,-,4.5%,50.0%,20.6%,28.6%,0.0%,18.8%,16.7%,0.0%,-,95,86
2019 Auckland QF,L vs Goerges,0.0%,-,0.0%,0.0%,13.6%,0.0%,0.0%,9.7%,0.0%,0.0%,-,-16,-60
2018 Luxembourg R16,W vs Suarez Navarro,2.4%,100.0%,12.0%,77.8%,34.1%,41.2%,0.0%,22.5%,57.1%,0.0%,-,86,104
2018 US Open Q2,W vs Gorgodze,0.0%,-,13.5%,84.6%,16.4%,23.1%,0.0%,18.6%,40.0%,0.0%,-,84,63
2018 Wimbledon R64,L vs Barty,0.0%,-,7.5%,54.5%,19.5%,23.1%,0.0%,7.0%,18.2%,0.5%,0.0%,20,-10
2018 Wimbledon R128,W vs Taylor,0.0%,-,5.6%,62.5%,13.0%,23.8%,0.0%,12.7%,62.5%,0.5%,0.0%,25,69
2018 Australian Open R64,L vs Halep,0.0%,-,12.1%,66.7%,14.1%,22.7%,0.0%,3.3%,0.0%,1.7%,0.0%,60,30
Career (75 matches),,0.0%,100.0%,7.6%,67.4%,15.5%,24.2%,14.7%,10.7%,28.0%,0.5%,20.9%,33,30
