Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 US Open R128,L vs Sevastova,93.4,101.3,6.3,,,110,83,81.5,3.4,,,87,74
2019 Roland Garros R128,L vs Tsurenko,90.6,95.6,5.3,,,105,87,81.5,2.9,,,85,76
2018 US Open R64,L vs Vondrousova,94.8,104.3,5.8,104.5,97.3,115,90,83.7,6.2,82.3,82.3,94,70
2018 Wimbledon R64,L vs Barty,98.1,104.3,5.8,105.4,100.8,114,91,88.8,4.5,96.0,84.0,97,79
2017 US Open R128,L vs Rodina,92.7,100.4,4.1,100.9,99.7,109,93,82.2,4.3,84.6,83.5,90,74
2017 Wimbledon R128,L vs Suarez Navarro,95.4,102.5,4.5,103.8,101.8,110,90,84.9,5.0,85.4,83.0,94,74
2017 Roland Garros R64,L vs Sevastova,95.8,102.6,3.5,,,110,97,86.9,5.0,,,95,75
2017 Roland Garros R128,W vs Ozaki,94.9,101.1,7.6,,,110,66,83.8,5.8,,,94,74
2017 Australian Open R32,L vs Vandeweghe,94.5,102.3,4.4,103.7,97.6,110,93,85.2,4.8,86.7,84.0,97,74
2017 Australian Open R64,W vs Peng,93.8,100.1,5.6,100.3,96.0,110,89,82.8,6.6,87.3,85.7,89,62
2017 Australian Open R128,W vs Chirico,94.0,101.8,4.7,103.4,98.2,110,93,84.7,6.4,90.0,83.3,98,74
2016 US Open R128,L vs Siniakova,91.6,100.3,6.7,102.7,97.5,110,75,81.9,5.8,82.3,82.5,92,69
2016 Wimbledon R32,L vs Cibulkova,94.3,99.5,4.8,99.0,97.3,107,87,82.9,3.5,84.0,83.0,89,77
2016 Wimbledon R64,W vs Konta,99.7,104.0,4.2,105.2,101.6,111,95,86.5,4.1,84.0,88.5,95,80
2016 Wimbledon R128,W vs Rybarikova,99.1,103.0,4.6,101.0,100.3,110,91,84.8,5.3,80.0,84.8,94,75
2016 Roland Garros R64,L vs Bacsinszky,97.8,102.1,4.1,103.6,100.4,109,94,87.6,4.0,81.0,83.0,94,78
2016 Australian Open R64,L vs Radwanska,96.6,103.2,4.4,,,110,85,86.5,4.0,,,94,79
2016 Australian Open R128,W vs Krunic,96.0,101.9,4.7,,,109,88,85.5,4.2,,,93,77
2015 US Open R32,W vs Cibulkova,91.7,98.0,5.1,,,106,84,78.5,4.9,,,88,70
2015 US Open R64,W vs Hercog,88.0,96.6,7.5,,,108,69,76.2,5.6,,,85,64
Career (54 matches),,92.8,99.7,4.9,102.9,99.3,115,66,82.3,4.6,85.0,84.0,104,62
