Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Merida F,L vs Bucsa,83.3%,41.5%,0.0%,0/0,2.40,5.5%,81.8%,33.3%,0.0%,2.38,6.3%,96.7%,51.7%,0.0%,2.42,4.0%
2025 Berlin R16,L vs Anisimova,70.2%,51.5%,9.6%,6/3,2.48,10.9%,73.8%,51.1%,6.6%,2.32,15.9%,77.8%,52.4%,18.5%,2.80,0.0%
2025 Madrid R32,L vs Andreeva,77.3%,35.3%,3.0%,0/2,2.28,16.3%,82.2%,35.1%,0.0%,2.19,28.6%,82.4%,35.7%,11.8%,2.39,0.0%
2025 Doha R32,L vs Linette,77.1%,48.1%,11.4%,8/4,2.72,4.2%,79.7%,40.0%,8.7%,2.74,6.6%,86.7%,65.4%,20.0%,2.69,0.0%
2025 Doha R64,W vs Haddad Maia,78.4%,51.7%,4.5%,4/1,2.56,8.1%,80.3%,52.6%,2.8%,2.45,11.9%,90.9%,50.0%,9.1%,2.80,0.0%
2025 Australian Open R32,L vs Andreeva,76.3%,48.3%,6.6%,2/3,2.16,13.8%,76.6%,47.2%,4.3%,2.10,21.4%,84.6%,50.0%,11.5%,2.27,0.0%
2024 Wuhan QF,L vs Sabalenka,84.2%,45.8%,19.3%,7/4,2.76,17.0%,78.1%,60.0%,6.3%,2.52,30.8%,92.0%,30.4%,36.0%,3.04,0.0%
2024 Guadalajara F,W vs Gadecki,79.7%,50.8%,2.5%,2/0,2.03,21.7%,82.2%,40.5%,0.0%,1.84,38.5%,86.7%,65.4%,6.7%,2.28,0.0%
2024 Prague F,L vs Linette,74.5%,34.2%,13.7%,5/2,2.46,2.5%,71.9%,21.7%,6.3%,2.54,4.5%,93.8%,53.3%,31.3%,2.36,0.0%
2024 Roland Garros R128,L vs Kasatkina,69.4%,46.5%,3.2%,1/1,2.48,5.3%,63.2%,33.3%,2.6%,2.56,6.8%,90.5%,63.2%,4.8%,2.22,0.0%
2024 Australian Open R16,L vs Gauff,73.7%,32.1%,7.9%,3/0,2.20,0.0%,81.0%,29.4%,4.8%,2.38,0.0%,68.8%,36.4%,12.5%,1.88,0.0%
2023 Roland Garros R64,L vs Rakhimova,73.7%,42.9%,5.3%,1/2,2.49,4.0%,74.1%,30.0%,7.4%,2.36,6.9%,78.6%,54.5%,3.6%,2.67,0.0%
2023 Roland Garros R128,W vs Zhang,71.4%,68.0%,2.9%,1/0,2.36,3.7%,83.3%,73.3%,5.6%,2.24,5.3%,100.0%,60.0%,0.0%,2.64,0.0%
2023 Rome R128,W vs Paoletti,83.3%,51.1%,2.8%,2/1,2.44,4.2%,87.2%,41.2%,1.3%,2.50,6.4%,91.7%,81.8%,8.3%,2.32,0.0%
2023 Madrid R64,L vs Pegula,72.6%,43.4%,6.8%,3/2,2.43,2.1%,66.7%,42.9%,7.1%,2.56,3.7%,92.6%,44.0%,7.4%,2.25,0.0%
2023 Miami R32,L vs Gracheva,72.7%,31.3%,6.8%,2/1,2.51,5.0%,80.6%,24.0%,9.7%,2.57,7.7%,58.3%,57.1%,0.0%,2.41,0.0%
2022 BJK Cup Finals RR,L vs Muchova,70.0%,37.1%,8.0%,2/2,2.66,17.1%,68.8%,31.8%,3.1%,2.88,35.3%,76.5%,46.2%,17.6%,2.46,0.0%
2022 BJK Cup Finals RR,L vs Collins,65.3%,45.5%,5.0%,5/0,2.75,4.0%,64.8%,42.9%,1.9%,2.78,6.3%,81.6%,48.4%,10.5%,2.70,0.0%
2022 Monastir R32,W vs Mansouri,66.7%,55.3%,0.0%,0/0,2.35,38.7%,73.5%,52.0%,0.0%,2.40,52.2%,81.3%,61.5%,0.0%,2.17,0.0%
2022 Warsaw R32,L vs Swiatek,73.8%,29.0%,2.4%,1/0,2.43,0.0%,68.2%,20.0%,0.0%,2.42,0.0%,84.2%,37.5%,5.3%,2.46,0.0%
Last 52 Weeks (3 matches),,76.5%,43.4%,4.6%,54.5%,2.39,10.2%,78.7%,40.7%,2.7%,2.32,15.0%,86.5%,48.4%,9.5%,2.53,1.5%
Career (28 matches),,75.6%,46.9%,5.2%,65.3%,2.44,7.3%,77.1%,42.6%,3.1%,2.43,11.5%,85.4%,54.7%,10.4%,2.47,0.2%
