Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,1-2,33.3%,13-16,44.8%,0-0,-,1,57.1%,33.3%,7.4%,8.6%,61.7%,58.0%,45.2%,53.1%,44.8%,48.4%,0.95,R32 (W15 Sharm ElSheikh)
2025,28,15,13,53.6%,34-31,52.3%,304-303,50.1%,4-4,50.0%,26,62.3%,36.5%,4.0%,4.3%,53.8%,61.3%,47.9%,55.1%,44.9%,50.1%,1.00,SF (2x)
2024,43,27,16,62.8%,57-37,60.6%,448-392,53.3%,7-3,70.0%,0,,,,,,,,,,,,W (3x)
2023,21,10,11,47.6%,21-24,46.7%,203-206,49.6%,0-2,0.0%,0,,,,,,,,,,,,W (W25 Perigueux)
2022,45,27,18,60.0%,55-44,55.6%,469-437,51.8%,8-2,80.0%,1,55.6%,11.1%,1.9%,1.9%,74.1%,47.5%,71.4%,53.7%,37.5%,44.4%,0.81,W (W25 Haabneeme)
2021,31,16,15,51.6%,37-34,52.1%,344-344,50.0%,4-4,50.0%,0,,,,,,,,,,,,F (2x)
2020,20,14,6,70.0%,31-17,64.6%,249-207,54.6%,1-3,25.0%,0,,,,,,,,,,,,W (W15 Varna)
2019,46,27,19,58.7%,56-46,54.9%,496-457,52.0%,4-3,57.1%,0,,,,,,,,,,,,W (W15 Tabarka)
2018,35,22,13,62.9%,48-29,62.3%,388-298,56.6%,1-3,25.0%,0,,,,,,,,,,,,W (2x)
2017,20,11,9,55.0%,27-21,56.3%,232-208,52.7%,4-0,100.0%,0,,,,,,,,,,,,SF (Oslo $15K)
2016,10,5,5,50.0%,9-12,42.9%,98-104,48.5%,0-3,0.0%,0,,,,,,,,,,,,SF (Bol $10K)
2015,4,2,2,50.0%,5-4,55.6%,37-41,47.4%,0-0,-,0,,,,,,,,,,,,QF (Oslo $10K)
2014,4,2,2,50.0%,4-5,44.4%,40-45,47.1%,1-1,50.0%,0,,,,,,,,,,,,QF (Oslo 10K)
Career,308,178,130,57.8%,385-306,55.7%,3321-3058,52.1%,34-28,54.8%,28,61.9%,35.6%,4.1%,4.4%,54.6%,60.6%,48.2%,55.0%,44.7%,49.8%,0.99,
