Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2007 Barcelona F,L vs Nadal,6.4,6.4,6.5,54.9%,34.8%,35.7%,38.5%,55.5%,8.0%,10.5,6.5,-6.0,-5.0
2007 Miami SF,W vs Ljubicic,4.7,5.0,4.2,50.0%,45.2%,82.4%,46.2%,66.8%,6.9%,8.5,6.1,5.5,8.5
2007 Miami R16,W vs Federer,5.0,5.8,4.1,53.2%,42.6%,50.0%,44.4%,53.0%,5.7%,7.0,3.2,-2.0,-1.1
2007 Miami F,L vs Djokovic,6.1,5.9,6.2,40.3%,48.5%,47.6%,35.9%,56.0%,9.4%,7.0,3.0,0.0,0.0
2005 Indian Wells SF,L vs Federer,4.5,4.8,4.3,40.4%,34.6%,50.0%,60.0%,54.7%,7.6%,6.5,6.3,-3.5,-4.3
2004 Paris SF,L vs Safin,4.9,5.4,4.4,43.9%,51.6%,42.9%,35.3%,54.2%,21.6%,-3.0,-2.3,-5.5,-6.3
2004 US Open R32,L vs Roddick,4.1,5.1,2.9,34.7%,45.5%,55.6%,52.9%,63.7%,13.2%,9.5,6.0,-3.0,-4.1
2004 Stuttgart F,W vs Gaudio,5.7,5.8,5.7,57.1%,55.7%,52.4%,42.0%,52.2%,19.2%,29.5,8.5,0.0,0.0
2002 Canada F,W vs Roddick,3.5,4.5,2.5,55.1%,48.1%,66.7%,66.7%,59.3%,27.1%,15.0,17.6,-0.5,-1.2
2002 Canada SF,W vs Haas,3.7,4.4,3.0,49.2%,58.8%,50.0%,46.7%,64.7%,10.5%,16.0,9.6,0.0,0.0
2001 Vienna F,L vs Haas,3.8,3.9,3.7,48.2%,32.3%,50.0%,56.3%,49.2%,18.3%,7.0,5.6,-5.5,-5.2
2001 Stuttgart F,L vs Kuerten,3.7,4.0,3.6,45.0%,51.3%,44.4%,35.7%,44.2%,17.1%,6.5,5.2,-4.5,-3.3
2001 s Hertogenbosch F,L vs Hewitt,3.5,3.9,2.9,45.7%,44.4%,28.6%,57.1%,57.8%,28.1%,5.5,7.2,-5.5,-14.5
Career (13 matches),,4.6,5.1,4.2,47.7%,47.1%,51.0%,44.3%,55.3%,14.2%,9.7,6.1,-2.3,-2.1
