Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2007 Barcelona F,L vs Nadal,14,13,1.1,15.6%,14.4%,11,12,0.9,13.1%,14.3%,9.5%,2.4%,2.3,23.3%,10.0%
2007 Miami Masters F,L vs Djokovic,20,26,0.8,12.1%,15.8%,14,21,0.7,9.6%,14.4%,7.5%,2.1%,1.3,24.2%,19.4%
2007 Miami Masters SF,W vs Ljubicic,16,9,1.8,13.2%,7.4%,12,6,2.0,11.1%,5.6%,9.3%,1.9%,1.0,19.8%,19.8%
2007 Miami Masters R16,W vs Federer,19,19,1.0,8.7%,8.7%,13,19,0.7,6.4%,9.3%,3.9%,0.5%,1.3,26.0%,19.6%
2005 Indian Wells Masters SF,L vs Federer,10,17,0.6,10.2%,17.3%,8,15,0.5,9.4%,17.6%,7.1%,2.4%,1.2,23.5%,19.4%
2004 Paris Masters SF,L vs Safin,16,19,0.8,12.7%,15.1%,12,19,0.6,10.7%,17.0%,8.0%,2.7%,1.0,23.0%,22.2%
2004 US Open R32,L vs Roddick,23,24,1.0,14.4%,15.0%,20,17,1.2,15.4%,13.1%,10.8%,3.8%,2.6,28.7%,11.3%
2004 Stuttgart F,W vs Gaudio,40,42,1.0,14.1%,14.8%,26,36,0.7,10.0%,13.8%,6.5%,3.1%,0.9,17.7%,19.8%
2002 Canada Masters F,W vs Roddick,19,9,2.1,17.1%,8.1%,10,8,1.3,11.5%,9.2%,9.2%,2.3%,0.8,18.0%,23.4%
2002 Canada Masters SF,W vs Haas,35,20,1.8,18.1%,10.4%,26,17,1.5,15.3%,10.0%,10.6%,2.4%,0.9,17.6%,19.2%
2001 Vienna F,L vs Haas,20,23,0.9,15.4%,17.7%,18,23,0.8,14.9%,19.0%,12.4%,2.5%,1.1,17.7%,16.2%
2001 Stuttgart F,L vs Kuerten,29,31,0.9,15.2%,16.2%,20,28,0.7,12.3%,17.2%,9.2%,3.1%,0.9,20.9%,23.0%
2001 s Hertogenbosch F,L vs Hewitt,8,13,0.6,16.3%,26.5%,6,12,0.5,13.3%,26.7%,4.4%,6.7%,1.3,24.5%,18.4%
Career (13 matches),,269,265,1.0,13.9%,13.7%,196,233,0.8,11.4%,13.6%,8.2%,2.5%,1.1,21.6%,18.9%
