Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,18,5,13,27.8%,18-30,37.5%,228-249,47.8%,2-6,25.0%,18,74.4%,22.1%,6.8%,3.8%,51.4%,73.1%,48.7%,61.3%,36.6%,49.3%,0.94,QF (Houston)
2008,45,22,23,48.9%,48-58,45.3%,516-534,49.1%,5-13,27.8%,43,75.5%,24.9%,7.4%,3.9%,54.0%,70.7%,49.7%,61.0%,38.5%,49.7%,0.99,SF (2x)
2007,60,39,21,65.0%,94-52,64.4%,775-651,54.3%,19-6,76.0%,57,79.2%,28.3%,7.7%,2.8%,57.3%,73.2%,51.5%,64.0%,40.3%,51.9%,1.12,W (Costa Do Sauipe)
2005,35,24,11,68.6%,56-29,65.9%,447-356,55.7%,7-4,63.6%,33,78.9%,32.6%,4.6%,3.2%,59.2%,69.9%,52.6%,62.8%,43.0%,52.6%,1.16,SF (2x)
2004,62,40,22,64.5%,98-63,60.9%,840-717,53.9%,11-9,55.0%,61,79.7%,29.4%,6.2%,4.4%,58.9%,72.1%,53.0%,64.3%,40.6%,52.3%,1.14,W (3x)
2003,6,3,3,50.0%,8-8,50.0%,86-88,49.4%,3-2,60.0%,6,77.4%,21.2%,6.8%,5.9%,62.9%,72.4%,44.7%,62.1%,38.4%,50.1%,1.02,QF (Shanghai)
2002,66,42,24,63.6%,105-71,59.7%,921-787,53.9%,12-13,48.0%,63,79.9%,27.4%,6.5%,3.6%,59.3%,71.4%,53.6%,64.2%,40.6%,52.0%,1.13,W (2x)
2001,71,50,21,70.4%,113-71,61.4%,958-797,54.6%,10-13,43.5%,71,78.7%,31.5%,7.1%,3.2%,61.0%,71.1%,51.6%,63.5%,42.2%,52.5%,1.16,W (2x)
2000,17,5,12,29.4%,14-28,33.3%,171-216,44.2%,0-2,0.0%,16,64.0%,24.2%,5.6%,5.7%,54.4%,68.0%,44.5%,57.3%,38.5%,47.5%,0.90,QF (Mexico City)
1999,40,16,24,40.0%,45-58,43.7%,483-524,48.0%,8-8,50.0%,37,70.7%,25.9%,3.7%,4.0%,58.9%,67.2%,48.6%,59.5%,39.9%,49.6%,0.99,F (Orlando)
1998,21,7,14,33.3%,23-31,42.6%,250-271,48.0%,4-6,40.0%,19,72.1%,22.4%,6.2%,4.5%,53.3%,71.0%,48.8%,60.6%,38.7%,49.3%,0.98,R16 (2x)
1997,5,1,4,20.0%,4-8,33.3%,45-60,42.9%,1-0,100.0%,5,64.7%,20.8%,8.1%,4.4%,52.8%,68.6%,45.0%,57.5%,37.0%,47.0%,0.87,R16 (Boston)
1996,3,0,3,0.0%,2-6,25.0%,31-44,41.3%,1-0,100.0%,3,63.9%,18.4%,8.1%,8.1%,46.8%,68.3%,45.8%,56.3%,38.6%,46.8%,0.88,R32 (3x)
Career,449,254,195,56.6%,628-513,55.0%,5751-5294,52.1%,83-82,50.3%,432,76.9%,27.7%,6.4%,3.8%,57.8%,71.1%,50.9%,62.6%,40.3%,51.2%,1.08,
