Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,158,82,76,51.9%,176-160,52.4%,1528-1492,50.6%,11-15,42.3%,6,-,-,2.4%,2.7%,70.7%,50.6%,49.0%,50.1%,40.2%,45.0%,0.81
Clay,185,112,73,60.5%,245-172,58.8%,1991-1802,52.5%,16-10,61.5%,2,-,-,2.3%,2.3%,78.6%,42.7%,46.4%,43.5%,44.0%,43.8%,0.78
Grass,18,5,13,27.8%,11-27,28.9%,139-203,40.6%,1-2,33.3%,1,-,-,6.1%,0.0%,75.8%,40.0%,50.0%,42.4%,40.4%,41.3%,0.70
Carpet,31,16,15,51.6%,29-28,50.9%,258-256,50.2%,3-3,50.0%,0,,,,,,,,,,,
Grand Slams,60,25,35,41.7%,55-74,42.6%,534-623,46.2%,3-6,33.3%,6,-,-,2.3%,2.0%,74.9%,43.6%,47.1%,44.5%,41.6%,43.0%,0.75
Premiers,55,20,35,36.4%,41-72,36.3%,443-549,44.7%,3-4,42.9%,3,-,-,3.3%,3.3%,69.3%,57.5%,51.1%,55.6%,39.7%,47.7%,0.89
Internationals,87,50,37,57.5%,113-80,58.5%,942-866,52.1%,10-4,71.4%,0,,,,,,,,,,,
Finals,14,9,5,64.3%,17-13,56.7%,143-136,51.3%,2-1,66.7%,0,,,,,,,,,,,
Semi-finals,23,14,9,60.9%,31-19,62.0%,248-210,54.1%,4-0,100.0%,0,,,,,,,,,,,
Quarter-finals,42,23,19,54.8%,47-41,53.4%,402-389,50.8%,2-2,50.0%,0,,,,,,,,,,,
vs Righties,322,166,156,51.6%,357-329,52.0%,3123-3100,50.2%,25-27,48.1%,9,-,-,2.6%,2.4%,73.1%,47.7%,48.5%,47.9%,41.1%,44.4%,0.79
vs Lefties,37,26,11,70.3%,56-32,63.6%,421-364,53.6%,4-2,66.7%,0,,,,,,,,,,,
vs Top 10,33,3,30,9.1%,15-56,21.1%,231-393,37.0%,0-1,0.0%,5,-,-,2.2%,2.2%,74.2%,45.6%,49.3%,46.5%,38.4%,42.3%,0.72
