Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Miami R64,L vs Gibson,36.7%,43.3%,48.6%,61.8%,70.6%,61.5%,45.0%,42.9%,-,4.0%,8.0%,41.7%,25.0%,14.3%,50.0%,-74
2025 US Open SF,L vs Anisimova,33.3%,39.5%,33.3%,42.5%,49.3%,42.9%,40.6%,29.3%,60.0%,17.5%,22.5%,21.2%,22.2%,4.5%,0.0%,-74
2025 US Open R16,W vs Gauff,42.1%,44.7%,72.7%,52.9%,58.8%,87.5%,55.6%,0.0%,-,33.3%,33.3%,64.3%,0.0%,14.3%,-,-104
2025 US Open R32,W vs Kasatkina,28.4%,37.8%,49.0%,39.5%,55.8%,57.7%,42.9%,27.3%,66.7%,14.8%,14.8%,39.1%,8.3%,20.0%,0.0%,30
2025 US Open R64,W vs Baptiste,27.1%,33.3%,57.6%,34.5%,44.8%,52.6%,27.3%,33.3%,50.0%,17.6%,17.6%,64.3%,0.0%,14.3%,-,-37
2025 Montreal F,L vs Mboko,15.1%,23.3%,38.2%,18.0%,32.0%,43.9%,55.6%,17.4%,0.0%,12.9%,12.9%,29.6%,35.7%,0.0%,0.0%,9
2025 Montreal QF,W vs Svitolina,19.6%,25.5%,64.1%,24.1%,34.5%,77.3%,58.3%,29.4%,33.3%,15.0%,15.0%,47.1%,44.4%,9.1%,0.0%,6
2025 Montreal R128,W vs Arseneault,40.0%,46.7%,48.4%,48.3%,58.6%,60.0%,46.7%,28.6%,0.0%,38.5%,42.3%,37.5%,10.0%,62.5%,100.0%,91
2025 Roland Garros R128,L vs Badosa,21.6%,32.0%,47.9%,32.2%,40.7%,52.5%,29.0%,42.9%,0.0%,6.1%,21.2%,41.9%,0.0%,57.1%,100.0%,-58
2025 Rome R128,W vs Errani,22.9%,35.4%,61.8%,45.5%,54.5%,83.3%,33.3%,69.2%,-,4.3%,21.7%,50.0%,0.0%,25.0%,0.0%,-74
2025 Australian Open R64,W vs Muchova,33.3%,49.3%,46.7%,36.6%,56.1%,53.8%,52.9%,37.5%,50.0%,29.6%,40.7%,36.8%,8.3%,20.0%,0.0%,-61
2025 Auckland F,L vs Tauson,32.0%,52.0%,52.9%,42.9%,57.1%,50.0%,71.4%,57.1%,-,18.2%,45.5%,55.6%,40.0%,0.0%,-,-104
2024 US Open R64,L vs Muchova,35.5%,42.1%,42.2%,44.2%,55.8%,54.2%,31.3%,37.0%,66.7%,27.6%,27.6%,28.6%,21.4%,13.3%,0.0%,42
2024 US Open R128,W vs Ostapenko,52.0%,62.0%,54.2%,66.7%,70.0%,40.0%,61.5%,35.3%,-,30.0%,50.0%,64.3%,10.0%,40.0%,0.0%,-104
2024 Olympics R64,L vs Kerber,17.9%,32.1%,52.3%,23.3%,40.0%,69.6%,55.0%,70.0%,50.0%,12.5%,25.0%,33.3%,28.6%,23.5%,0.0%,-11
2024 Wimbledon R64,L vs Navarro,39.6%,45.8%,27.6%,50.0%,53.3%,26.7%,60.0%,40.0%,-,22.2%,33.3%,28.6%,25.0%,40.0%,25.0%,-104
2024 s Hertogenbosch QF,L vs Andreescu,33.7%,46.9%,50.0%,46.8%,59.7%,51.5%,22.7%,35.0%,0.0%,12.1%,27.3%,48.3%,15.8%,14.3%,0.0%,-3
2024 Roland Garros R64,L vs Swiatek,26.9%,43.5%,49.3%,38.8%,56.7%,56.1%,52.8%,41.9%,42.9%,8.1%,24.3%,41.2%,14.3%,26.1%,20.0%,-34
2024 Rome R32,W vs Kasatkina,17.7%,35.5%,53.1%,25.0%,46.9%,54.2%,41.2%,26.7%,0.0%,10.7%,25.0%,52.0%,9.1%,23.5%,50.0%,-23
2024 Rome R64,W vs Kostyuk,25.0%,45.5%,60.6%,30.0%,55.0%,78.6%,40.0%,30.0%,-,20.8%,37.5%,47.4%,16.7%,16.7%,0.0%,-104
Last 52 Weeks (10 matches),,28.0%,35.7%,48.6%,38.2%,48.3%,55.9%,42.8%,32.3%,28.0%,16.0%,20.9%,40.7%,15.0%,23.1%,30.8%,8
Career (125 matches),,28.4%,38.3%,47.1%,38.0%,50.0%,53.5%,47.8%,38.3%,39.4%,16.8%,24.5%,40.0%,20.0%,33.1%,38.1%,-9
