Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,29,19,10,65.5%,13,7,6,53.8%,2011,2019,R64,23,1.06,8.1%,2.0%,65.8%,69.2%,53.5%,63.8%,38.3%,65.8%,38.3%
Roland Garros,9,Clay,12,3,9,25.0%,4,1,3,25.0%,2011,2019,R128,8,0.81,3.3%,1.5%,64.7%,65.6%,53.8%,61.4%,31.4%,61.0%,29.5%
Wimbledon,8,Grass,16,8,8,50.0%,5,4,1,80.0%,2010,2019,R128,4,0.83,5.8%,3.2%,59.7%,60.9%,54.0%,58.1%,34.8%,48.6%,45.5%
US Open,12,Hard,24,12,12,50.0%,11,6,5,54.5%,2005,2018,R32,15,0.93,7.6%,3.6%,58.7%,69.2%,52.1%,62.1%,35.3%,56.3%,34.5%
Delray Beach,10,Hard,25,15,10,60.0%,7,6,1,85.7%,2010,2019,QF,25,1.07,5.9%,2.4%,59.3%,67.6%,53.3%,61.8%,40.8%,58.7%,36.5%
Indian Wells Masters,9,Hard,21,12,9,57.1%,9,2,7,22.2%,2010,2018,R64,21,1.13,4.1%,2.7%,59.2%,67.7%,55.7%,62.8%,42.0%,62.4%,38.4%
Atlanta,9,Hard,20,11,9,55.0%,8,5,3,62.5%,2010,2018,R16,19,1.09,7.1%,3.7%,58.2%,70.6%,54.3%,63.8%,39.6%,65.9%,40.2%
Washington,9,Hard,20,11,9,55.0%,8,3,5,37.5%,2011,2019,R16,20,1.02,6.4%,3.7%,61.3%,70.4%,52.2%,63.3%,37.3%,66.2%,45.6%
Miami Masters,8,Hard,18,10,8,55.6%,3,1,2,33.3%,2011,2018,R32,18,1.10,6.0%,3.5%,60.0%,72.6%,53.2%,64.9%,38.7%,56.4%,43.6%
Cincinnati Masters,8,Hard,12,4,8,33.3%,2,1,1,50.0%,2010,2018,Q2,11,0.86,5.7%,3.1%,58.6%,67.2%,45.0%,58.0%,36.2%,54.1%,38.5%
