Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,9,3,6,33.3%,9-14,39.1%,102-117,46.6%,1-2,33.3%,9,72.9%,21.1%,8.0%,3.3%,62.3%,69.1%,47.7%,61.0%,35.9%,48.5%,0.92,R16 (3x)
2018,14,6,8,42.9%,15-18,45.5%,151-164,47.9%,1-3,25.0%,14,74.8%,21.8%,5.5%,2.5%,62.2%,68.3%,48.7%,60.9%,37.7%,49.2%,0.97,QF (2x)
2017,24,17,7,70.8%,35-19,64.8%,287-249,53.5%,6-4,60.0%,24,76.6%,30.3%,6.2%,2.6%,63.0%,68.4%,51.9%,62.3%,41.2%,51.7%,1.09,W (2x)
2016,28,13,15,46.4%,28-34,45.2%,300-308,49.3%,3-4,42.9%,28,78.9%,20.7%,7.2%,3.3%,56.6%,72.1%,51.4%,63.1%,36.7%,49.8%,0.99,SF (2x)
2015,34,25,9,73.5%,51-27,65.4%,412-337,55.0%,9-6,60.0%,34,81.0%,28.5%,4.9%,2.5%,63.4%,69.4%,53.6%,63.6%,40.5%,52.2%,1.11,W (2x)
2014,31,19,12,61.3%,42-28,60.0%,351-302,53.8%,4-4,50.0%,31,75.7%,32.2%,4.9%,2.4%,64.6%,68.2%,51.2%,62.1%,42.4%,52.1%,1.12,F (Napa)
2013,39,25,14,64.1%,52-37,58.4%,457-390,54.0%,4-5,44.4%,39,76.6%,31.5%,3.5%,2.6%,65.6%,67.4%,50.1%,61.4%,41.8%,51.6%,1.08,W (Knoxville)
2012,28,19,9,67.9%,39-27,59.1%,341-314,52.1%,5-5,50.0%,28,75.5%,28.6%,4.9%,2.7%,60.9%,67.4%,52.9%,61.7%,40.5%,51.0%,1.06,W (2x)
2011,12,4,8,33.3%,12-15,44.4%,128-139,47.9%,1-3,25.0%,12,70.9%,24.6%,4.3%,4.1%,56.1%,63.9%,54.8%,59.9%,38.9%,49.3%,0.97,QF (Tulsa)
2010,39,22,17,56.4%,50-42,54.3%,435-400,52.1%,5-5,50.0%,38,76.0%,29.7%,4.1%,2.9%,65.0%,68.4%,50.3%,62.1%,41.9%,51.7%,1.11,F (2x)
2009,25,13,12,52.0%,27-31,46.6%,256-271,48.6%,4-4,50.0%,0,,,,,,,,,,,,F (Winnetka)
2008,26,12,14,46.2%,28-34,45.2%,292-294,49.8%,2-8,20.0%,0,,,,,,,,,,,,SF (Humacao)
2007,3,0,3,0.0%,0-6,0.0%,15-37,28.8%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2006,3,1,2,33.3%,2-5,28.6%,36-36,50.0%,0-2,0.0%,0,,,,,,,,,,,,R16 (Yuba City)
Career,315,179,136,56.8%,390-337,53.6%,3563-3358,51.5%,45-55,45.0%,257,76.6%,28.0%,5.1%,2.8%,62.6%,68.4%,51.5%,62.1%,40.4%,51.2%,1.07,
