Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,121,59,62,48.8%,137-142,49.1%,1333-1334,50.0%,19-15,55.9%,118,77.8%,22.3%,8.3%,3.9%,60.9%,71.7%,49.8%,63.1%,37.4%,50.2%,1.02
Clay,1,0,1,0.0%,1-2,33.3%,9-18,33.3%,1-0,100.0%,1,61.5%,0.0%,5.7%,3.4%,58.0%,68.6%,40.5%,56.8%,35.0%,45.2%,0.81
Grass,2,1,1,50.0%,2-2,50.0%,17-18,48.6%,0-0,-,2,82.4%,16.7%,10.3%,6.9%,59.5%,73.9%,46.8%,62.9%,34.6%,49.3%,0.93
Finals,3,1,2,33.3%,3-4,42.9%,31-40,43.7%,2-0,100.0%,3,73.5%,11.4%,6.2%,3.3%,61.2%,70.3%,42.6%,59.5%,33.5%,46.5%,0.83
Semi-finals,5,3,2,60.0%,6-5,54.5%,53-50,51.5%,1-0,100.0%,5,80.0%,23.1%,9.0%,2.4%,63.7%,77.2%,49.5%,67.1%,36.7%,51.5%,1.12
Quarter-finals,19,5,14,26.3%,12-29,29.3%,181-220,45.1%,2-4,33.3%,19,71.4%,18.9%,6.9%,2.9%,60.4%,69.5%,47.3%,60.7%,34.5%,47.7%,0.88
vs Righties,106,54,52,50.9%,124-122,50.4%,1191-1165,50.6%,16-15,51.6%,104,78.6%,22.8%,8.3%,3.9%,61.6%,71.8%,50.2%,63.5%,37.7%,50.5%,1.03
vs Lefties,14,3,11,21.4%,9-21,30.0%,116-158,42.3%,2-0,100.0%,13,68.4%,15.4%,7.9%,3.9%,56.8%,70.0%,44.2%,58.8%,34.3%,46.6%,0.83
