Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,200,92,108,46.0%,224-272,45.2%,2444-2543,49.0%,33-66,33.3%,198,79.3%,19.0%,8.9%,4.2%,59.1%,72.0%,50.8%,63.3%,35.1%,49.4%,0.96
Clay,42,15,27,35.7%,40-64,38.5%,462-565,45.0%,12-8,60.0%,38,75.1%,14.7%,8.0%,4.3%,59.2%,70.8%,49.0%,61.9%,33.2%,47.8%,0.87
Grass,37,13,24,35.1%,38-57,40.0%,458-515,47.1%,12-10,54.5%,37,79.8%,14.0%,8.9%,4.1%,61.2%,72.0%,49.6%,63.3%,32.8%,48.3%,0.89
Grand Slams,43,14,29,32.6%,58-93,38.4%,699-807,46.4%,10-16,38.5%,43,76.1%,16.9%,8.2%,4.2%,58.5%,70.9%,48.6%,61.6%,33.7%,48.0%,0.88
Masters,61,26,35,42.6%,62-78,44.3%,706-743,48.7%,15-22,40.5%,61,78.8%,19.0%,8.3%,3.8%,59.5%,71.4%,50.7%,63.0%,35.5%,49.4%,0.96
Other Tours,171,78,93,45.6%,177-217,44.9%,1913-2021,48.6%,30-46,39.5%,168,79.8%,17.5%,9.2%,4.4%,59.8%,72.3%,51.0%,63.7%,34.4%,49.3%,0.95
Best of 5,44,14,30,31.8%,59-96,38.1%,714-828,46.3%,10-16,38.5%,43,76.1%,16.9%,8.2%,4.2%,58.5%,70.9%,48.6%,61.6%,33.7%,48.0%,0.88
Best of 3,235,106,129,45.1%,243-297,45.0%,2650-2795,48.7%,47-68,40.9%,230,79.5%,17.9%,8.9%,4.2%,59.7%,72.1%,50.9%,63.5%,34.7%,49.3%,0.95
Finals,4,1,3,25.0%,3-6,33.3%,44-48,47.8%,0-2,0.0%,4,86.7%,11.1%,12.8%,3.5%,58.1%,73.8%,57.9%,67.1%,30.2%,48.8%,0.92
Semi-finals,11,4,7,36.4%,10-17,37.0%,117-146,44.5%,1-5,16.7%,11,76.7%,13.3%,8.8%,3.8%,60.8%,68.0%,52.2%,61.8%,29.5%,46.4%,0.77
Quarter-finals,18,11,7,61.1%,22-19,53.7%,203-206,49.6%,7-3,70.0%,18,81.1%,17.8%,8.4%,3.9%,62.6%,71.8%,52.0%,64.4%,35.3%,50.2%,0.99
vs Righties,249,109,140,43.8%,273-347,44.0%,3023-3232,48.3%,54-76,41.5%,243,79.4%,17.5%,8.8%,4.3%,59.4%,72.1%,50.5%,63.3%,34.4%,49.1%,0.94
vs Lefties,30,11,19,36.7%,29-46,38.7%,341-391,46.6%,3-8,27.3%,30,74.1%,19.7%,8.1%,3.7%,59.3%,69.3%,49.8%,61.4%,35.6%,48.5%,0.92
vs Top 10,38,2,36,5.3%,22-86,20.4%,429-623,40.8%,4-16,20.0%,37,71.3%,11.2%,7.4%,4.4%,58.2%,67.9%,46.8%,59.1%,29.9%,45.2%,0.73
