Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2021,1,0,1,0.0%,1-2,33.3%,11-15,42.3%,0-0,-,1,76.9%,7.7%,4.8%,4.8%,52.4%,77.3%,42.5%,60.7%,32.3%,45.8%,0.82,R32 (Delray Beach)
2020,2,1,1,50.0%,3-2,60.0%,28-21,57.1%,0-1,0.0%,2,88.0%,26.1%,8.7%,5.1%,62.6%,71.3%,45.2%,61.5%,37.4%,51.5%,0.97,R16 (Delray Beach)
2019,9,3,6,33.3%,8-13,38.1%,99-107,48.1%,0-1,0.0%,9,77.9%,16.8%,11.1%,4.7%,58.4%,75.9%,48.7%,64.6%,32.6%,49.0%,0.92,R16 (2x)
2018,44,22,22,50.0%,52-57,47.7%,566-566,50.0%,11-20,35.5%,43,84.0%,16.6%,11.0%,4.0%,60.1%,74.6%,53.2%,66.1%,33.9%,50.0%,1.00,F (2x)
2017,43,20,23,46.5%,46-57,44.7%,492-520,48.6%,6-14,30.0%,42,78.3%,19.4%,9.8%,4.4%,58.5%,72.2%,49.2%,62.6%,34.7%,48.8%,0.93,W (Memphis)
2016,22,11,11,50.0%,28-28,50.0%,299-292,50.6%,7-7,50.0%,22,82.1%,18.8%,9.6%,3.9%,58.8%,75.0%,52.7%,65.8%,35.1%,50.4%,1.03,R16 (6x)
2015,13,5,8,38.5%,13-21,38.2%,157-186,45.8%,5-4,55.6%,12,73.2%,17.9%,5.7%,4.3%,59.3%,68.5%,51.0%,61.4%,35.2%,48.3%,0.91,SF (Acapulco)
2014,17,5,12,29.4%,13-26,33.3%,168-205,45.0%,0-4,0.0%,17,74.9%,16.1%,7.3%,4.6%,58.6%,69.4%,47.1%,60.2%,34.0%,47.4%,0.85,R16 (2x)
2013,32,11,21,34.4%,31-51,37.8%,374-445,45.7%,7-9,43.8%,32,77.3%,13.8%,8.2%,4.1%,59.9%,70.9%,48.5%,61.9%,32.3%,47.9%,0.85,SF (Atlanta)
2012,48,23,25,47.9%,57-63,47.5%,592-617,49.0%,12-11,52.2%,45,80.7%,17.8%,8.1%,3.3%,61.7%,71.3%,52.5%,64.1%,34.8%,49.7%,0.97,SF (3x)
2011,33,14,19,42.4%,36-50,41.9%,403-451,47.2%,8-7,53.3%,33,73.6%,20.5%,7.3%,5.2%,56.6%,69.0%,49.6%,60.6%,36.3%,48.5%,0.92,SF (2x)
2010,13,4,9,30.8%,12-21,36.4%,158-179,46.9%,1-6,14.3%,13,78.4%,16.6%,7.6%,4.2%,61.2%,70.2%,48.6%,61.8%,35.0%,48.4%,0.92,QF (Newport)
2008,2,1,1,50.0%,2-2,50.0%,17-19,47.2%,0-0,-,2,57.9%,35.3%,6.1%,6.1%,54.1%,69.8%,40.0%,56.1%,39.8%,48.4%,0.91,R16 (Houston)
Career,279,120,159,43.0%,302-393,43.5%,3364-3623,48.1%,57-84,40.4%,273,78.8%,17.7%,8.8%,4.2%,59.4%,71.8%,50.4%,63.1%,34.5%,49.0%,0.94,
