Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 New York R16,L vs Lorenzi,37.9%,48.4%,50.0%,41.8%,54.2%,62.7%,48.1%,60.5%,50.0%,51.5%,60.0%,13.8%,31.0%,52.0%,11
2018 Winston Salem R16,W vs Krajinovic,32.4%,44.1%,61.4%,38.5%,36.6%,51.2%,65.4%,46.8%,47.1%,50.0%,100.0%,28.0%,36.0%,55.6%,33
2018 Atlanta F,L vs Isner,37.6%,45.9%,55.1%,42.0%,42.3%,51.9%,56.7%,49.4%,45.5%,30.0%,0.0%,34.5%,41.4%,52.6%,63
2018 Acapulco QF,L vs Zverev,22.6%,34.0%,42.1%,27.5%,23.3%,36.7%,39.1%,32.0%,31.3%,50.0%,0.0%,25.0%,35.0%,46.7%,118
2018 Brisbane F,L vs Kyrgios,31.0%,36.2%,43.2%,33.6%,51.6%,61.3%,40.0%,56.5%,38.5%,33.3%,50.0%,8.3%,8.3%,45.5%,-37
2017 Atlanta F,L vs Isner,46.3%,51.2%,51.3%,49.5%,54.3%,63.0%,61.9%,60.0%,41.2%,44.8%,0.0%,40.0%,40.0%,38.9%,99
2017 Memphis F,W vs Basilashvili,31.8%,36.4%,48.9%,34.1%,43.2%,51.4%,42.9%,47.3%,25.0%,38.1%,42.9%,17.2%,17.2%,54.2%,-79
2017 Memphis R32,W vs Kravchuk,29.4%,35.3%,62.5%,32.5%,48.6%,56.8%,68.4%,54.3%,44.4%,42.1%,100.0%,8.7%,13.0%,57.1%,-39
2016 Stockholm R16,L vs Anderson,28.8%,42.5%,59.2%,39.0%,32.7%,51.0%,57.6%,48.0%,68.4%,16.7%,0.0%,23.8%,28.6%,62.5%,110
2016 Tokyo R32,L vs Kyrgios,31.7%,36.5%,43.6%,33.3%,51.7%,58.6%,21.4%,55.2%,47.4%,50.0%,-,16.7%,20.0%,56.0%,44
2016 Shenzhen R16,L vs Tomic,35.6%,39.1%,52.8%,38.0%,53.7%,59.3%,60.0%,57.6%,50.0%,53.8%,100.0%,6.7%,6.7%,46.4%,-51
2016 Canada R32,W vs Isner,43.8%,51.8%,54.1%,46.6%,51.6%,57.8%,54.8%,56.6%,29.6%,45.9%,66.7%,34.8%,45.7%,53.3%,-16
2016 Canada R64,W vs Kuznetsov,53.8%,61.5%,61.1%,57.7%,58.6%,69.0%,75.0%,63.8%,45.5%,61.1%,-,40.0%,40.0%,33.3%,-79
2016 Washington R64,W vs Robert,43.6%,52.7%,56.7%,43.6%,54.1%,54.1%,52.9%,54.1%,36.8%,55.6%,-,23.5%,52.9%,61.5%,5
2016 Ilkley CH R16,W vs Medvedev,39.6%,48.5%,54.4%,45.2%,49.2%,64.4%,63.3%,58.8%,35.7%,35.5%,33.3%,28.9%,28.9%,44.4%,65
2012 Indian Wells R32,W vs Garcia Lopez,27.1%,41.4%,52.1%,34.4%,34.8%,54.3%,53.3%,45.9%,42.9%,64.0%,100.0%,14.3%,19.0%,50.0%,19
Career (16 matches),,36.1%,44.3%,52.9%,40.2%,46.6%,56.9%,54.5%,53.4%,42.6%,44.1%,44.7%,23.0%,28.9%,51.1%,67
