Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,18,8,10,44.4%,9,3,6,33.3%,2010,2019,R32,15,0.86,8.7%,4.0%,59.1%,70.0%,48.2%,61.1%,33.4%,60.0%,38.0%
Roland Garros,9,Clay,17,7,10,41.2%,14,6,8,42.9%,2010,2019,R64,15,0.94,6.6%,2.8%,60.5%,70.9%,50.9%,63.0%,34.8%,57.7%,39.8%
Wimbledon,9,Grass,19,9,10,47.4%,12,7,5,58.3%,2010,2018,R64,11,0.87,10.0%,3.6%,61.3%,73.7%,48.7%,64.0%,31.5%,65.3%,37.3%
US Open,11,Hard,21,10,11,47.6%,13,4,9,30.8%,2009,2019,R32,17,0.94,6.6%,5.4%,56.6%,69.9%,49.4%,61.0%,36.5%,61.4%,38.2%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2012,2012,R64,1,0.59,11.5%,3.3%,72.1%,75.0%,35.3%,63.9%,21.2%,40.0%,0.0%
Davis Cup,2,,4,2,2,50.0%,2,2,0,100.0%,2012,2018,,1,1.29,1.7%,1.7%,55.9%,72.7%,65.4%,69.5%,39.2%,83.3%,100.0%
Indian Wells Masters,10,Hard,21,11,10,52.4%,11,6,5,54.5%,2010,2019,R16,21,1.03,6.9%,3.3%,59.9%,71.0%,48.6%,62.0%,39.0%,62.7%,41.1%
Houston,10,Clay,19,9,10,47.4%,3,1,2,33.3%,2008,2022,QF,19,0.95,8.0%,4.6%,60.0%,69.7%,47.2%,60.7%,37.1%,54.2%,40.3%
Miami Masters,10,Hard,12,2,10,16.7%,7,1,6,14.3%,2010,2019,R64,12,0.83,7.4%,4.4%,57.3%,69.5%,49.6%,61.0%,32.3%,58.8%,33.3%
Newport,9,Grass,15,6,9,40.0%,10,5,5,50.0%,2010,2021,SF,15,0.93,8.1%,5.3%,58.8%,71.5%,50.9%,63.0%,34.5%,64.8%,37.2%
Atlanta,8,Hard,22,14,8,63.6%,16,8,8,50.0%,2011,2019,F,21,1.05,9.4%,4.5%,60.0%,74.7%,52.6%,65.9%,35.7%,62.8%,40.1%
Memphis,8,Hard,21,14,7,66.7%,7,5,2,71.4%,2010,2017,W,21,1.07,8.4%,3.6%,62.2%,71.2%,52.6%,64.2%,38.3%,66.2%,40.8%
