Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 New York R16,L vs Lorenzi,1.3%,0.0%,5.4%,80.0%,12.4%,16.2%,18.2%,9.2%,25.0%,1.3%,25.0%,-8,30
2018 Winston Salem R16,W vs Krajinovic,3.2%,100.0%,11.3%,80.0%,9.5%,23.3%,0.0%,13.0%,0.0%,1.7%,50.0%,-38,-11
2018 Atlanta F,L vs Isner,1.3%,100.0%,3.7%,71.4%,16.4%,23.8%,33.3%,16.1%,40.0%,1.9%,33.3%,-3,-6
2018 Acapulco QF,L vs Zverev,5.8%,33.3%,6.7%,57.1%,9.1%,33.3%,0.0%,10.3%,10.0%,0.7%,100.0%,48,31
2018 Brisbane F,L vs Kyrgios,2.0%,0.0%,8.8%,30.0%,11.1%,17.6%,0.0%,13.3%,25.0%,0.0%,-,19,18
2017 Atlanta F,L vs Isner,0.0%,-,3.8%,100.0%,10.7%,10.5%,33.3%,18.5%,37.5%,0.7%,100.0%,-8,59
2017 Memphis F,W vs Basilashvili,0.0%,-,5.3%,50.0%,4.5%,11.1%,0.0%,3.1%,7.1%,0.0%,-,-130,-86
2017 Memphis R32,W vs Kravchuk,1.6%,0.0%,8.1%,30.0%,6.6%,8.8%,11.1%,9.6%,54.5%,0.0%,-,-148,-97
2016 Stockholm R16,L vs Anderson,8.5%,66.7%,10.7%,62.5%,10.4%,26.1%,0.0%,17.2%,55.6%,0.9%,100.0%,-103,-65
2016 Tokyo R32,L vs Kyrgios,5.8%,0.0%,11.3%,46.2%,8.5%,21.4%,0.0%,0.0%,0.0%,2.2%,0.0%,-70,-28
2016 Shenzhen R16,L vs Tomic,6.0%,50.0%,7.2%,57.1%,5.8%,12.5%,0.0%,3.4%,11.1%,0.8%,0.0%,-118,-74
2016 Canada R32,W vs Isner,4.1%,100.0%,5.3%,81.8%,8.3%,8.3%,20.0%,14.7%,33.3%,0.0%,-,-83,-15
2016 Canada R64,W vs Kuznetsov,11.8%,100.0%,8.4%,100.0%,13.8%,50.0%,0.0%,4.8%,11.1%,0.0%,-,35,91
2016 Washington R64,W vs Robert,8.7%,75.0%,9.9%,53.8%,13.7%,16.7%,50.0%,11.1%,20.0%,1.1%,0.0%,5,37
2016 Ilkley CH R16,W vs Medvedev,13.8%,84.6%,16.0%,78.8%,12.5%,35.5%,25.0%,12.5%,37.5%,1.3%,75.0%,-31,18
2012 Indian Wells R32,W vs Garcia Lopez,4.5%,100.0%,9.2%,69.2%,11.7%,24.0%,10.0%,4.8%,18.8%,0.9%,33.3%,-86,-54
Career (16 matches),,4.8%,70.0%,8.1%,66.0%,10.1%,19.1%,15.5%,9.5%,24.2%,0.9%,40.0%,-58,-18
