Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Eastbourne R32,L vs Joint,0.0%,-,7.7%,72.7%,12.2%,16.1%,0.0%,16.7%,40.0%,5.6%,18.2%,182,118
2024 Wimbledon R32,L vs Svitolina,0.0%,-,8.1%,70.0%,13.7%,21.7%,0.0%,15.6%,30.0%,2.1%,0.0%,81,91
2024 Roland Garros QF,L vs Gauff,0.0%,-,8.1%,66.7%,19.3%,33.3%,0.0%,12.3%,23.8%,5.4%,25.0%,83,52
2024 Roland Garros R16,W vs Tauson,0.0%,-,4.5%,85.7%,27.9%,35.5%,0.0%,8.3%,30.0%,8.2%,25.0%,79,60
2024 Madrid QF,L vs Keys,0.0%,-,4.8%,57.1%,11.3%,11.1%,0.0%,8.3%,27.3%,7.5%,46.7%,24,27
2024 Stuttgart R16,L vs Paolini,0.0%,-,4.3%,71.4%,13.3%,7.7%,0.0%,7.1%,9.5%,4.5%,18.2%,57,54
2024 Charleston R32,L vs Collins,0.0%,-,6.3%,72.7%,12.4%,19.2%,0.0%,14.7%,28.6%,5.5%,14.3%,11,-5
2024 Indian Wells R64,L vs Volynets,0.0%,-,6.3%,87.5%,15.1%,20.0%,50.0%,6.2%,11.1%,5.4%,14.3%,145,116
2024 Abu Dhabi R16,W vs Raducanu,0.0%,-,8.5%,70.0%,27.0%,32.0%,100.0%,20.0%,21.4%,5.7%,45.5%,52,54
2024 Australian Open R64,L vs Andreeva,0.0%,-,13.9%,36.4%,6.3%,13.3%,100.0%,4.7%,7.1%,4.8%,14.3%,45,17
2023 Cancun Finals RR,L vs Swiatek,0.0%,-,1.1%,0.0%,18.6%,23.8%,0.0%,11.5%,33.3%,7.5%,27.3%,70,46
2023 Ningbo F,W vs Shnaider,0.0%,-,7.9%,87.5%,15.1%,16.7%,18.2%,2.8%,0.0%,3.6%,37.5%,-65,-50
2023 US Open R16,L vs Zheng,0.0%,-,6.2%,57.1%,19.6%,29.2%,0.0%,5.9%,16.7%,2.6%,25.0%,78,53
2023 Cincinnati QF,L vs Sabalenka,0.0%,-,3.8%,60.0%,29.8%,35.3%,0.0%,12.0%,33.3%,2.3%,33.3%,66,68
2023 Wimbledon F,L vs Vondrousova,0.0%,-,12.0%,80.0%,14.3%,23.3%,100.0%,11.3%,12.5%,3.2%,25.0%,81,40
2023 Wimbledon SF,W vs Sabalenka,0.0%,-,3.7%,50.0%,19.0%,19.2%,33.3%,22.6%,29.4%,1.8%,25.0%,-12,19
2023 Wimbledon R32,W vs Andreescu,0.0%,-,3.1%,80.0%,25.3%,38.2%,25.0%,13.9%,36.4%,3.8%,0.0%,86,101
2023 Roland Garros QF,L vs Haddad Maia,0.0%,-,3.3%,100.0%,16.7%,20.6%,21.4%,8.2%,8.3%,7.1%,45.5%,55,59
2023 Roland Garros R16,W vs Pera,0.0%,-,7.8%,62.5%,14.0%,9.1%,33.3%,10.0%,0.0%,6.7%,50.0%,54,86
2023 Roland Garros R32,W vs Danilovic,0.0%,-,3.2%,66.7%,19.1%,24.2%,28.6%,10.8%,18.8%,5.0%,41.2%,-11,-1
Last 52 Weeks (1 matches),,0.0%,-,7.7%,72.7%,12.2%,16.1%,0.0%,16.7%,40.0%,5.6%,18.2%,182,118
Career (94 matches),,0.1%,66.7%,7.1%,70.7%,17.2%,23.7%,17.0%,10.8%,20.0%,5.2%,29.1%,75,66
