Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,21,14,7,66.7%,30-14,68.2%,222-156,58.7%,1-1,50.0%,1,60.0%,33.3%,10.1%,2.5%,60.8%,64.6%,45.2%,57.0%,43.8%,49.5%,1.02,W (Manchester $100K)
2017,19,12,7,63.2%,27-15,64.3%,204-182,52.8%,2-1,66.7%,0,,,,,,,,,,,,SF (2x)
2016,32,24,8,75.0%,50-24,67.6%,374-299,55.6%,4-4,50.0%,0,,,,,,,,,,,,W (3x)
2015,13,6,7,46.2%,15-17,46.9%,152-150,50.3%,1-3,25.0%,0,,,,,,,,,,,,QF (2x)
2014,30,21,9,70.0%,44-22,66.7%,346-275,55.7%,5-2,71.4%,0,,,,,,,,,,,,W (Tunis 25K)
2013,35,27,8,77.1%,55-27,67.1%,417-310,57.4%,4-3,57.1%,0,,,,,,,,,,,,W (4x)
2012,28,18,10,64.3%,40-26,60.6%,304-274,52.6%,5-0,100.0%,0,,,,,,,,,,,,F (Tunis 25K)
2011,4,1,3,25.0%,3-6,33.3%,38-52,42.2%,1-0,100.0%,0,,,,,,,,,,,,R16 (Istanbul 10K)
2010,19,16,3,84.2%,26-8,76.5%,182-119,60.5%,2-2,50.0%,0,,,,,,,,,,,,W (2x)
2009,8,6,2,75.0%,12-6,66.7%,92-78,54.1%,3-1,75.0%,0,,,,,,,,,,,,F (Monastir 10K)
2008,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R16 (El Menzah 10K)
Career,210,145,65,69.0%,302-167,64.4%,2334-1907,55.0%,28-17,62.2%,1,60.0%,33.3%,10.1%,2.5%,60.8%,64.6%,45.2%,57.0%,43.8%,49.5%,1.02,
