Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Eastbourne R32,L vs Joint,67.9%,44.7%,12.5%,3/4,2.74,5.8%,74.2%,43.5%,6.5%,2.61,9.3%,71.4%,46.7%,23.8%,2.94,0.0%
2024 Wimbledon R32,L vs Svitolina,80.3%,34.0%,4.5%,0/3,2.54,10.5%,78.9%,30.0%,0.0%,2.64,22.2%,82.1%,39.1%,10.7%,2.44,0.0%
2024 Roland Garros QF,L vs Gauff,72.5%,45.9%,4.9%,3/2,2.35,4.7%,67.9%,44.7%,3.6%,2.31,8.1%,85.7%,47.2%,7.1%,2.41,0.0%
2024 Roland Garros R16,W vs Tauson,74.0%,51.9%,4.1%,2/1,2.44,5.3%,70.8%,52.9%,4.2%,2.28,9.7%,95.2%,50.0%,4.8%,2.64,0.0%
2024 Madrid QF,L vs Keys,70.7%,50.0%,11.0%,4/5,2.47,7.1%,71.7%,52.6%,5.7%,2.67,14.3%,76.9%,45.0%,23.1%,2.28,0.0%
2024 Stuttgart R16,L vs Paolini,76.8%,46.0%,7.3%,2/4,2.57,0.0%,74.1%,39.5%,3.4%,2.36,0.0%,87.0%,60.0%,17.4%,2.73,0.0%
2024 Charleston R32,L vs Collins,75.9%,49.2%,15.7%,6/7,2.24,9.0%,89.8%,50.0%,10.2%,2.06,12.8%,65.5%,47.4%,27.6%,2.50,3.6%
2024 Indian Wells R64,L vs Volynets,78.7%,45.8%,3.3%,2/0,2.20,3.8%,80.8%,40.5%,1.9%,2.48,8.7%,66.7%,83.3%,11.1%,1.97,0.0%
2024 Abu Dhabi R16,W vs Raducanu,79.4%,57.4%,5.9%,2/2,2.00,11.8%,79.6%,59.0%,0.0%,1.58,26.7%,88.2%,53.3%,23.5%,2.33,0.0%
2024 Australian Open R64,L vs Andreeva,70.0%,32.1%,5.0%,0/2,2.40,16.7%,65.4%,23.5%,3.8%,2.03,38.5%,84.6%,45.5%,7.7%,2.70,0.0%
2023 Cancun Finals RR,L vs Swiatek,77.1%,37.8%,2.1%,1/0,2.51,2.8%,65.4%,35.3%,0.0%,2.31,5.0%,95.2%,40.0%,4.8%,2.77,0.0%
2023 Ningbo F,W vs Shnaider,88.1%,61.5%,3.4%,1/1,2.42,12.9%,89.7%,60.0%,0.0%,2.28,25.0%,85.0%,64.7%,10.0%,2.57,0.0%
2023 US Open R16,L vs Zheng,59.6%,42.9%,10.6%,1/4,2.50,7.8%,57.9%,54.5%,10.5%,2.51,16.7%,77.3%,35.3%,13.6%,2.49,0.0%
2023 Cincinnati QF,L vs Sabalenka,66.7%,52.2%,11.6%,4/4,2.46,4.5%,67.4%,51.7%,4.7%,2.30,8.7%,85.0%,52.9%,30.0%,2.63,0.0%
2023 Wimbledon F,L vs Vondrousova,70.8%,54.3%,4.6%,1/2,2.29,17.3%,75.6%,51.6%,0.0%,2.38,37.5%,75.0%,60.0%,15.0%,2.21,0.0%
2023 Wimbledon SF,W vs Sabalenka,65.8%,49.4%,5.0%,1/5,2.26,19.3%,64.9%,44.0%,2.6%,2.17,28.6%,76.3%,58.6%,10.5%,2.42,4.5%
2023 Wimbledon R32,W vs Andreescu,66.7%,42.3%,9.0%,1/6,2.33,5.4%,73.2%,41.5%,3.6%,2.02,14.3%,64.7%,45.5%,29.4%,2.52,0.0%
2023 Roland Garros QF,L vs Haddad Maia,72.6%,55.1%,9.5%,4/5,2.70,8.5%,73.8%,54.2%,3.1%,2.53,17.1%,77.8%,57.1%,25.9%,2.87,0.0%
2023 Roland Garros R16,W vs Pera,82.2%,78.4%,15.6%,4/3,2.89,10.5%,86.2%,72.0%,6.9%,2.61,21.1%,100.0%,91.7%,41.7%,3.16,0.0%
2023 Roland Garros R32,W vs Danilovic,87.6%,50.0%,4.5%,2/2,2.60,12.2%,85.5%,55.3%,1.8%,2.49,25.7%,96.9%,41.9%,9.4%,2.70,0.0%
Last 52 Weeks (1 matches),,67.9%,44.7%,12.5%,42.9%,2.74,5.8%,74.2%,43.5%,6.5%,2.61,9.3%,71.4%,46.7%,23.8%,2.94,0.0%
Career (94 matches),,74.2%,51.6%,6.9%,46.6%,2.51,10.8%,75.6%,49.6%,3.5%,2.43,18.6%,82.2%,55.1%,14.7%,2.58,2.7%
