Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Eastbourne R32,L vs Joint,16.1%,26.4%,39.1%,18.9%,32.1%,41.9%,59.3%,26.9%,12.5%,13.3%,20.0%,34.6%,53.8%,41.2%,75.0%,17
2024 Wimbledon R32,L vs Svitolina,28.1%,38.6%,52.6%,40.0%,60.0%,50.0%,71.4%,37.5%,0.0%,16.7%,16.7%,55.0%,22.2%,53.3%,50.0%,-11
2024 Roland Garros QF,L vs Gauff,21.7%,31.3%,50.0%,28.8%,42.3%,56.8%,69.2%,38.5%,0.0%,10.0%,13.3%,40.7%,9.1%,52.6%,66.7%,-65
2024 Roland Garros R16,W vs Tauson,25.9%,33.3%,52.6%,35.4%,43.8%,64.5%,46.2%,31.8%,0.0%,13.3%,20.0%,38.5%,8.3%,33.3%,50.0%,6
2024 Madrid QF,L vs Keys,33.3%,41.3%,42.9%,46.2%,51.3%,47.6%,50.0%,26.1%,25.0%,12.5%,25.0%,38.1%,30.8%,54.5%,100.0%,-104
2024 Stuttgart R16,L vs Paolini,32.9%,39.2%,39.6%,50.0%,56.8%,40.9%,44.4%,26.9%,50.0%,11.4%,17.1%,38.7%,15.4%,45.5%,100.0%,-104
2024 Charleston R32,L vs Collins,25.8%,35.5%,38.8%,26.4%,39.6%,41.0%,51.7%,16.7%,33.3%,26.3%,31.6%,35.7%,7.7%,32.0%,50.0%,-43
2024 Indian Wells R64,L vs Volynets,15.4%,26.2%,49.1%,24.2%,33.3%,44.0%,58.8%,31.3%,0.0%,6.3%,18.8%,53.3%,13.3%,23.5%,0.0%,-104
2024 Abu Dhabi R16,W vs Raducanu,32.0%,48.0%,50.0%,46.4%,67.9%,66.7%,50.0%,31.3%,-,13.6%,22.7%,36.8%,50.0%,41.7%,50.0%,-104
2024 Australian Open R64,L vs Andreeva,20.5%,25.6%,25.8%,26.3%,36.8%,21.4%,50.0%,28.6%,-,15.0%,15.0%,29.4%,71.4%,23.1%,25.0%,-104
2023 Cancun Finals RR,L vs Swiatek,10.9%,15.2%,38.9%,20.0%,24.0%,50.0%,40.0%,26.7%,33.3%,0.0%,6.3%,25.0%,20.0%,66.7%,75.0%,-119
2023 Ningbo F,W vs Shnaider,23.8%,33.3%,67.7%,38.5%,53.8%,68.8%,69.2%,23.1%,100.0%,0.0%,0.0%,66.7%,80.0%,10.0%,0.0%,-119
2023 US Open R16,L vs Zheng,18.2%,24.2%,33.3%,25.0%,34.4%,29.2%,66.7%,27.3%,0.0%,12.9%,16.1%,37.0%,9.1%,65.0%,60.0%,3
2023 Cincinnati QF,L vs Sabalenka,23.4%,31.3%,31.8%,30.3%,39.4%,34.8%,52.9%,12.5%,33.3%,19.2%,26.9%,28.6%,9.1%,53.3%,60.0%,67
2023 Wimbledon F,L vs Vondrousova,11.7%,15.0%,39.6%,13.8%,20.7%,40.0%,64.3%,13.3%,0.0%,9.7%,9.7%,39.3%,20.0%,0.0%,0.0%,-104
2023 Wimbledon SF,W vs Sabalenka,36.8%,46.3%,54.4%,40.7%,55.9%,57.1%,58.3%,40.0%,100.0%,33.3%,33.3%,50.0%,30.8%,10.0%,0.0%,-3
2023 Wimbledon R32,W vs Andreescu,31.0%,44.0%,55.4%,51.2%,67.4%,61.9%,33.3%,26.3%,0.0%,10.3%,20.5%,51.4%,6.3%,30.4%,100.0%,-45
2023 Roland Garros QF,L vs Haddad Maia,27.7%,32.8%,40.2%,33.9%,41.9%,43.9%,73.3%,9.4%,0.0%,22.6%,24.5%,36.6%,83.3%,27.6%,28.6%,-19
2023 Roland Garros R16,W vs Pera,27.6%,27.6%,34.2%,29.6%,29.6%,42.1%,53.8%,21.4%,16.7%,29.6%,29.6%,26.3%,61.5%,50.0%,100.0%,52
2023 Roland Garros R32,W vs Danilovic,20.2%,26.3%,50.0%,30.0%,40.0%,54.3%,80.0%,20.0%,0.0%,11.4%,13.6%,46.2%,70.0%,12.5%,28.6%,-1
Last 52 Weeks (1 matches),,16.1%,26.4%,39.1%,18.9%,32.1%,41.9%,59.3%,26.9%,12.5%,13.3%,20.0%,34.6%,53.8%,41.2%,75.0%,17
Career (94 matches),,24.7%,33.6%,45.2%,33.3%,45.1%,49.8%,52.8%,28.8%,23.1%,15.5%,21.5%,40.4%,22.2%,47.7%,58.0%,-6
