Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,22,12,10,54.5%,26-17,60.5%,217-199,52.2%,4-3,57.1%,21,67.3%,37.0%,4.4%,3.9%,58.7%,66.9%,45.6%,58.1%,44.1%,50.9%,1.05
Clay,3,0,3,0.0%,1-6,14.3%,26-41,38.8%,0-1,0.0%,3,59.4%,20.6%,2.1%,4.9%,54.3%,59.1%,44.1%,52.3%,35.5%,44.4%,0.74
Grass,8,4,4,50.0%,8-7,53.3%,75-66,53.2%,1-2,33.3%,8,74.3%,31.4%,4.4%,2.6%,60.3%,67.9%,49.7%,60.7%,41.6%,51.1%,1.06
Grand Slams,8,4,4,50.0%,9-7,56.3%,83-72,53.5%,0-3,0.0%,8,68.8%,40.3%,4.5%,3.7%,57.6%,65.3%,49.1%,58.4%,44.9%,51.5%,1.08
Premiers,13,8,5,61.5%,17-9,65.4%,137-119,53.5%,4-2,66.7%,12,72.0%,34.4%,4.5%,3.2%,60.7%,66.7%,47.1%,59.0%,42.9%,50.9%,1.05
Internationals,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,40.0%,30.0%,0.0%,4.6%,60.9%,52.8%,38.2%,47.1%,37.9%,43.4%,0.72
Quarter-finals,4,0,4,0.0%,1-8,11.1%,33-54,37.9%,0-2,0.0%,4,60.5%,16.7%,2.0%,2.3%,60.0%,55.7%,50.8%,53.8%,36.8%,45.6%,0.80
vs Righties,29,14,15,48.3%,31-28,52.5%,288-282,50.5%,5-6,45.5%,29,67.4%,33.9%,4.1%,3.7%,57.7%,65.8%,46.3%,57.6%,42.6%,50.0%,1.01
vs Lefties,4,2,2,50.0%,4-2,66.7%,30-24,55.6%,0-0,-,3,75.0%,34.6%,3.9%,3.3%,67.8%,70.5%,46.6%,62.8%,42.8%,53.0%,1.15
vs Top 10,6,2,4,33.3%,6-6,50.0%,59-54,52.2%,0-1,0.0%,6,69.0%,36.1%,4.0%,2.4%,60.7%,63.9%,49.0%,58.0%,44.4%,51.0%,1.06
