Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R128,L vs Tjen,21.5%,27.7%,45.7%,16.7%,25.0%,46.7%,17.6%,42.1%,33.3%,33.3%,37.5%,43.8%,8.3%,25.0%,100.0%,104
2025 Hong Kong R16,W vs Lys,35.4%,43.8%,58.6%,46.9%,53.1%,58.8%,35.3%,53.3%,100.0%,14.3%,28.6%,58.3%,20.0%,22.2%,-,25
2025 Osaka F,W vs Valentova,26.6%,39.2%,48.2%,28.3%,43.4%,57.9%,50.0%,55.6%,100.0%,25.0%,33.3%,27.8%,27.3%,53.8%,75.0%,-11
2025 Washington F,W vs Kalinskaya,33.9%,44.6%,57.6%,37.5%,50.0%,60.0%,40.0%,40.0%,100.0%,33.3%,41.7%,50.0%,22.2%,33.3%,-,169
2025 Doha R16,L vs Anisimova,19.5%,29.3%,34.4%,23.1%,38.5%,40.0%,33.3%,72.7%,25.0%,14.3%,14.3%,25.0%,0.0%,55.6%,100.0%,-23
2025 Doha R32,W vs Navarro,25.0%,34.1%,63.3%,36.7%,46.7%,68.4%,23.1%,52.9%,0.0%,0.0%,9.1%,54.5%,0.0%,28.6%,100.0%,-119
2025 Australian Open R32,L vs Gauff,22.4%,25.9%,42.9%,16.7%,19.4%,43.3%,44.4%,33.3%,50.0%,36.8%,42.1%,41.7%,11.1%,20.0%,40.0%,61
2024 Hong Kong SF,L vs Shnaider,24.0%,32.0%,44.1%,20.0%,31.4%,42.9%,27.8%,47.1%,50.0%,45.5%,45.5%,50.0%,0.0%,16.7%,0.0%,218
2024 Tokyo R16,W vs Gracheva,17.5%,33.8%,57.8%,19.2%,42.3%,54.8%,33.3%,64.0%,60.0%,15.4%,19.2%,63.6%,10.0%,37.5%,100.0%,-18
2024 Wuhan R64,W vs Shnaider,26.1%,37.8%,52.8%,38.7%,54.8%,65.8%,38.5%,55.6%,40.0%,12.8%,20.5%,38.2%,16.7%,28.6%,0.0%,-1
2024 Cincinnati R16,W vs Shnaider,33.9%,46.4%,58.1%,51.4%,65.7%,64.7%,18.8%,47.4%,33.3%,6.7%,20.0%,50.0%,25.0%,14.3%,0.0%,-64
2024 Olympics R16,L vs Kerber,2.9%,17.6%,44.4%,4.8%,21.4%,35.0%,18.2%,55.0%,33.3%,0.0%,13.0%,60.9%,0.0%,8.3%,0.0%,-119
2024 Olympics R64,W vs Muchova,17.2%,21.8%,51.5%,18.6%,23.7%,58.3%,24.0%,41.2%,40.0%,16.7%,20.8%,35.0%,15.4%,9.1%,0.0%,46
2024 Wimbledon R64,L vs Wozniacki,22.8%,33.7%,47.1%,28.6%,42.9%,48.9%,29.6%,52.8%,33.3%,10.7%,14.3%,44.0%,20.0%,7.7%,0.0%,-62
2024 Wimbledon R128,W vs Bronzetti,26.8%,41.1%,62.2%,33.3%,53.8%,73.1%,43.8%,60.9%,50.0%,15.4%,15.4%,36.4%,33.3%,14.3%,-,35
2024 Eastbourne F,L vs Kasatkina,10.8%,21.5%,45.5%,14.3%,22.4%,42.9%,26.1%,57.7%,83.3%,0.0%,23.1%,53.8%,28.6%,50.0%,100.0%,-119
2024 Rome R128,L vs Bogdan,11.9%,25.4%,44.9%,14.6%,31.7%,48.6%,42.9%,55.0%,60.0%,6.7%,13.3%,35.7%,14.3%,62.5%,0.0%,-55
2024 Doha QF,L vs Rybakina,19.7%,32.4%,41.5%,21.6%,35.3%,45.0%,22.7%,51.7%,44.4%,18.8%,31.3%,30.8%,11.1%,0.0%,0.0%,54
2024 Doha R32,W vs Badosa,15.7%,31.4%,55.4%,17.3%,36.5%,55.8%,34.6%,57.7%,80.0%,13.3%,20.0%,53.8%,0.0%,42.9%,100.0%,9
2024 United Cup RR,L vs Sakkari,10.1%,21.5%,52.9%,14.5%,23.6%,51.1%,44.0%,53.3%,83.3%,0.0%,19.0%,57.1%,20.0%,45.5%,50.0%,-119
Last 52 Weeks (4 matches),,28.6%,38.3%,51.2%,31.7%,42.9%,55.5%,37.3%,47.7%,75.0%,27.0%,35.1%,42.6%,18.9%,35.1%,80.0%,76
Career (62 matches),,20.6%,31.0%,51.0%,24.4%,37.2%,53.4%,30.6%,55.7%,57.3%,16.4%,23.2%,46.4%,16.8%,33.6%,43.2%,40
