Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Potapova,87.7,91.9,5.9,95.6,89.9,102,78,81.8,4.5,82.6,,90,69
2024 Wimbledon R64,L vs Wozniacki,90.8,93.7,6.1,98.1,90.7,106,78,84.4,3.7,86.1,82.0,91,77
2023 US Open R128,L vs Alexandrova,86.8,88.1,5.7,90.8,85.9,105,74,83.4,3.3,83.0,84.3,89,76
2023 Wimbledon R64,L vs Garcia,97.3,99.6,5.4,102.1,97.7,108,81,92.2,3.7,91.0,94.0,100,85
2022 US Open R64,L vs Samsonova,91.0,93.8,9.0,98.8,87.3,106,64,84.6,3.6,83.3,84.0,92,76
2022 US Open R128,W vs Dodin,92.1,95.6,7.7,99.5,83.8,103,76,86.7,3.5,87.5,84.0,95,80
2021 US Open F,L vs Raducanu,94.3,97.2,5.2,98.9,96.1,106,84,89.6,3.5,91.6,89.0,100,83
2021 US Open SF,W vs Sabalenka,93.6,97.3,6.8,99.9,96.2,106,65,88.2,4.1,93.4,88.3,101,81
2021 US Open QF,W vs Svitolina,92.4,97.1,5.3,100.6,93.8,107,81,85.5,4.2,85.3,85.7,99,78
2021 US Open R16,W vs Kerber,91.8,95.5,6.0,98.4,91.3,105,71,85.0,2.8,85.3,87.5,90,78
2021 US Open R32,W vs Osaka,95.0,96.9,5.2,99.4,94.2,105,83,86.8,4.2,,84.0,100,82
2021 US Open R64,W vs Kanepi,92.0,95.3,4.8,97.7,92.0,103,82,84.6,4.3,82.7,87.0,94,75
2021 US Open R128,W vs Konjuh,93.7,94.8,6.4,96.3,94.0,105,80,86.0,2.8,89.0,,89,81
Career (13 matches),,92.0,94.9,6.1,98.0,91.6,108,64,86.0,3.8,86.6,86.5,101,69
