Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Cali CH F,W vs Bueno,67% (8/12),50% (4/8),2/2,1/1,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2024 Bogota CH QF,L vs Sell,100% (4/4),0% (0/2),0/0,0/0,0% (0/4),0/2,0/1,- (0/0),- (0/0)
2019 Campinas CH F,L vs Varillas,71% (12/17),40% (2/5),1/1,0/0,78% (7/9),5/7,0/1,33% (2/6),40% (2/5)
2019 M25 Portoviejo R16,W vs Bogo,100% (9/9),60% (3/5),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Buenos Aires R16,W vs Rodriguez Taverna,50% (8/16),44% (4/9),2/3,1/1,78% (7/9),0/0,0/0,67% (4/6),60% (3/5)
2019 M25 Buenos Aires SF,W vs Ugo Carabelli,73% (8/11),67% (4/6),2/2,1/1,88% (7/8),0/0,0/0,- (0/0),- (0/0)
2019 M25 Buenos Aires R16,W vs Gutierrez,64% (7/11),100% (5/5),2/4,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2019 M25 Buenos Aires R32,W vs Matos,70% (7/10),56% (5/9),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 M15 Curitiba F,W vs Sorgi,33% (11/33),25% (1/4),2/4,1/1,100% (9/9),3/3,0/0,80% (4/5),60% (3/5)
2019 M15 Sao Jose do Rio Preto F,W vs Matos,80% (8/10),36% (4/11),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Sao Jose do Rio Preto QF,W vs Oliveira,100% (6/6),86% (6/7),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Sao Jose do Rio Preto R16,W vs Hinsching,82% (9/11),67% (4/6),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 M15 Sao Jose do Rio Preto R32,W vs Monzon,60% (6/10),67% (6/9),2/2,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2019 M25 Bacau R16,L vs Madaras,50% (5/10),50% (2/4),0/3,0/0,29% (2/7),3/6,1/2,67% (6/9),22% (2/9)
2019 M25 Bacau R32,W vs Papoe,73% (8/11),50% (4/8),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Brcko F,W vs Oconnell,69% (9/13),43% (3/7),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2019 M15 Brcko SF,W vs Dubrivnyy,82% (9/11),75% (6/8),2/2,1/1,50% (3/6),0/1,0/0,- (0/0),- (0/0)
2019 M15 Brcko R16,W vs Krapivin,70% (7/10),71% (5/7),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2019 M15 Brcko R32,W vs Drinic,73% (8/11),50% (4/8),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 M25 Doboj QF,L vs Oconnell,57% (4/7),60% (3/5),0/1,0/0,60% (6/10),2/4,0/1,- (0/0),- (0/0)
2024 (2 matches),,75.0%,40.0%,100.0%,100.0%,58.3%,0.0%,0.0%,-,-
2019 (36 matches),,61.6%,48.7%,58.1%,56.8%,63.6%,45.8%,15.4%,58.5%,37.3%
2018 (2 matches),,53.1%,33.3%,40.0%,25.0%,69.2%,0.0%,0.0%,50.0%,66.7%
2017 (4 matches),,57.4%,21.6%,75.0%,100.0%,52.9%,36.4%,40.0%,-,-
2015 (1 matches),,100.0%,66.7%,100.0%,-,66.7%,60.0%,66.7%,-,-
Career (45 matches),,61.6%,45.1%,59.0%,56.0%,62.5%,42.6%,26.1%,57.6%,40.4%
