Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,1,0,1,0.0%,1-2,33.3%,12-17,41.4%,0-0,-,1,42.9%,40.0%,0.0%,6.9%,79.3%,55.1%,22.2%,48.3%,45.2%,46.7%,0.87,R32 (San Diego)
2022,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,1.6%,3.2%,72.6%,48.9%,41.2%,46.8%,33.3%,40.9%,0.63,R32 (Istanbul)
2021,6,1,5,16.7%,4-11,26.7%,53-82,39.3%,1-1,50.0%,6,50.8%,27.9%,0.6%,7.3%,73.2%,54.4%,37.5%,49.9%,41.9%,45.8%,0.84,R32 (5x)
2018,2,0,2,0.0%,1-4,20.0%,15-28,34.9%,0-0,-,2,42.9%,27.3%,0.6%,11.3%,69.8%,61.3%,18.8%,48.4%,41.0%,44.9%,0.79,R32 (2x)
2016,6,0,6,0.0%,0-12,0.0%,27-73,27.0%,0-0,-,6,31.4%,22.4%,0.0%,10.6%,66.3%,48.2%,33.3%,43.2%,36.3%,39.9%,0.64,R32 (5x)
2015,3,1,2,33.3%,2-4,33.3%,20-30,40.0%,0-0,-,3,44.0%,36.0%,0.6%,6.8%,64.0%,52.4%,46.6%,50.3%,38.6%,44.8%,0.78,R16 (Stuttgart)
Career,19,2,17,10.5%,8-35,18.6%,129-242,34.8%,1-1,50.0%,19,42.1%,27.4%,0.5%,8.4%,70.2%,53.3%,34.7%,47.8%,40.0%,43.9%,0.77,
