Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,203,82,121,40.4%,205-257,44.4%,2133-2247,48.7%,24-35,40.7%,156,68.2%,26.4%,4.6%,5.9%,61.8%,62.3%,44.8%,55.6%,41.9%,48.7%,0.95
Clay,93,47,46,50.5%,107-102,51.2%,988-938,51.3%,8-8,50.0%,88,58.4%,32.8%,3.3%,5.4%,65.0%,61.6%,46.6%,56.4%,44.7%,50.4%,1.02
Grass,47,25,22,53.2%,58-48,54.7%,521-498,51.1%,9-5,64.3%,43,71.6%,30.9%,5.9%,5.7%,62.0%,67.3%,46.9%,59.5%,41.0%,50.0%,1.01
Grand Slams,76,38,38,50.0%,90-82,52.3%,838-791,51.4%,12-8,60.0%,68,73.7%,27.8%,5.3%,5.4%,62.7%,63.7%,46.1%,57.1%,43.7%,50.3%,1.02
Premiers,82,31,51,37.8%,78-110,41.5%,817-930,46.8%,8-8,50.0%,77,59.0%,32.9%,3.8%,5.2%,63.4%,62.1%,43.5%,55.3%,42.1%,48.7%,0.94
Internationals,124,60,64,48.4%,139-139,50.0%,1334-1299,50.7%,14-23,37.8%,104,69.2%,29.6%,4.6%,6.2%,62.2%,63.6%,47.2%,57.4%,42.5%,49.8%,1.00
Finals,2,1,1,50.0%,2-2,50.0%,19-21,47.5%,0-1,0.0%,1,40.0%,33.3%,3.1%,6.2%,66.2%,48.8%,45.5%,47.7%,35.7%,42.1%,0.68
Semi-finals,7,2,5,28.6%,5-11,31.3%,60-86,41.1%,0-1,0.0%,6,85.7%,20.0%,1.2%,5.4%,61.8%,62.3%,46.2%,56.1%,32.9%,44.3%,0.75
Quarter-finals,19,7,12,36.8%,17-25,40.5%,205-218,48.5%,2-7,22.2%,16,63.8%,24.5%,5.1%,5.6%,64.6%,63.3%,44.4%,56.6%,39.8%,48.1%,0.92
vs Righties,313,139,174,44.4%,334-374,47.2%,3314-3365,49.6%,39-45,46.4%,262,64.8%,29.5%,4.4%,5.6%,63.0%,62.6%,45.8%,56.4%,42.7%,49.5%,0.98
vs Lefties,25,12,13,48.0%,29-29,50.0%,277-277,50.0%,2-3,40.0%,22,71.2%,25.2%,4.8%,6.0%,61.8%,66.0%,45.5%,58.2%,40.4%,49.2%,0.97
vs Top 10,33,8,25,24.2%,21-51,29.2%,275-378,42.1%,2-4,33.3%,29,58.5%,20.9%,4.1%,5.8%,63.1%,60.2%,44.5%,54.4%,38.1%,46.3%,0.84
