Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2021,,,155,1580,154,1545,134,1563,,,,,,
2017,289,169,106,1681,98,1650,90,1623,,,37,1991,,
2016,37,1301,49,1808,42,1770,62,1686,37,1695,14,4260,,
2015,67,899,63,1774,59,1727,52,1701,40,1682,6,5720,,
2014,65,794,74,1750,83,1691,59,1696,50,1680,24,2625,,
2013,79,795,59,1772,74,1678,36,1762,55,1650,53,1677,,
2012,29,1526,51,1825,62,1726,32,1782,42,1671,26,2676,,
2011,204,297,93,1713,93,1667,74,1681,80,1588,5,6805,,
2010,39,1530,56,1806,65,1720,41,1780,53,1652,7,6240,,
2009,51,1229,57,1801,57,1740,62,1723,54,1653,,,,
2008,92,384,78,1737,69,1698,126,1570,55,1632,,,,
2007,84,383,140,1612,140,1565,148,1521,100,1528,,,,
2006,138,206,110,1675,110,1623,133,1558,80,1576,,,,
2005,292,96,,,,,,,,,,,,
2004,762,11,,,,,,,,,,,,
2003,509,25,,,,,,,,,,,,
