Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
1997 Australian Open SF,L vs Hingis,16.7%,20.4%,29.5%,19.5%,24.4%,33.3%,39.1%,44.4%,33.3%,8.3%,8.3%,18.2%,100.0%,11.1%,25.0%,-30
1994 Sydney F,L vs Date Krumm,20.7%,27.6%,31.1%,21.1%,31.6%,36.7%,50.0%,55.0%,50.0%,21.1%,21.1%,20.0%,33.3%,40.0%,100.0%,-43
1993 Roland Garros F,L vs Graf,17.6%,24.5%,43.8%,15.2%,25.8%,44.6%,33.3%,58.3%,85.7%,25.0%,25.0%,41.7%,61.1%,64.3%,50.0%,30
1993 Roland Garros SF,W vs Sanchez Vicario,5.7%,11.3%,58.0%,7.9%,15.8%,62.9%,47.1%,47.6%,80.0%,0.0%,0.0%,46.7%,75.0%,0.0%,-,-119
1992 Australian Open F,L vs Seles,16.1%,21.4%,29.8%,17.6%,26.5%,39.3%,63.2%,60.0%,100.0%,13.6%,13.6%,15.8%,66.7%,15.4%,33.3%,-104
1992 Australian Open SF,W vs Sabatini,5.9%,21.6%,61.5%,6.5%,25.8%,62.1%,64.3%,47.1%,100.0%,9.1%,27.3%,60.0%,75.0%,42.9%,0.0%,-23
1991 Wimbledon SF,L vs Graf,31.5%,35.2%,18.9%,26.5%,32.4%,20.0%,27.8%,50.0%,50.0%,40.0%,40.0%,16.7%,87.5%,33.3%,-,-104
1991 Australian Open SF,L vs Seles,13.3%,25.0%,50.5%,17.3%,34.7%,61.3%,57.9%,54.1%,37.5%,7.5%,10.0%,32.4%,55.6%,27.3%,66.7%,-42
1990 US Open SF,L vs Sabatini,11.4%,24.6%,47.8%,11.0%,24.7%,49.2%,35.9%,32.4%,20.0%,15.6%,31.3%,44.4%,38.5%,42.1%,0.0%,37
1990 Australian Open F,L vs Graf,18.5%,21.5%,48.1%,18.2%,20.5%,47.2%,23.8%,73.9%,100.0%,20.0%,25.0%,50.0%,44.4%,81.8%,100.0%,-46
1989 Roland Garros SF,L vs Sanchez Vicario,2.3%,7.0%,34.1%,3.3%,10.0%,31.0%,50.0%,57.1%,75.0%,0.0%,0.0%,41.7%,0.0%,42.9%,33.3%,-119
Career (11 matches),,14.7%,22.7%,43.0%,15.1%,25.6%,46.5%,43.9%,52.2%,61.2%,15.7%,19.6%,35.4%,55.8%,37.4%,41.9%,-14
