Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,4,2,2,50.0%,4-4,50.0%,37-30,55.2%,0-0,-,4,61.8%,54.5%,1.7%,2.2%,75.7%,56.9%,50.0%,55.2%,54.0%,54.6%,1.21,
2020,4,2,2,50.0%,5-4,55.6%,40-32,55.6%,0-0,-,4,65.7%,43.2%,0.4%,2.5%,73.8%,58.3%,43.8%,54.5%,46.2%,50.4%,1.02,
2017,4,0,4,0.0%,1-8,11.1%,21-50,29.6%,0-0,-,4,40.0%,16.7%,0.4%,5.6%,66.4%,55.1%,33.3%,47.8%,32.8%,41.3%,0.63,
Career,12,4,8,33.3%,10-16,38.5%,98-112,46.7%,0-0,-,12,55.8%,37.7%,0.7%,3.6%,71.4%,56.8%,40.4%,52.1%,44.4%,48.4%,0.93,
