Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2018 US Open Q1,L vs Rodionova,58% (7/12),71% (5/7),2/7,75% (9/12),22% (2/9),1/5,0/0,2/2,0/0,0/0
2018 Bucharest R32,L vs Rus,56% (5/9),60% (3/5),2/4,78% (7/9),14% (1/7),2/3,0/0,0/2,0/0,0/1
2018 Wimbledon R128,L vs Riske Amritraj,43% (3/7),33% (1/3),1/5,86% (6/7),0% (0/6),0/1,0/0,0/1,0/0,0/1
2018 Wimbledon Q3,L vs Bouchard,11% (1/9),0% (0/1),0/3,75% (6/8),50% (3/6),0/0,0/0,1/1,0/0,0/0
2018 Wimbledon Q2,W vs Hogenkamp,63% (5/8),100% (5/5),1/2,44% (4/9),50% (2/4),2/4,1/1,0/0,1/1,0/0
2018 Wimbledon Q1,W vs Zarazua,88% (7/8),100% (7/7),3/3,38% (3/8),0% (0/3),4/5,0/0,0/0,0/0,0/0
2018 Bol QF,L vs Lukas,71% (10/14),70% (7/10),5/8,77% (10/13),10% (1/10),2/7,1/1,0/1,0/0,0/0
2018 Bol R16,W vs Minella,75% (6/8),100% (6/6),2/2,25% (2/8),0% (0/2),4/5,1/1,0/0,1/1,0/0
2018 Bol R32,W vs Martincova,77% (10/13),80% (8/10),4/5,67% (8/12),25% (2/8),3/6,0/1,0/1,0/1,0/0
2018 Roland Garros R64,L vs Giorgi,50% (4/8),0% (0/4),0/3,71% (5/7),20% (1/5),0/0,0/0,1/2,0/0,1/1
2018 Roland Garros R128,W vs Sevastova,62% (8/13),88% (7/8),0/3,62% (8/13),50% (4/8),5/6,1/1,2/3,1/1,0/0
2018 Roland Garros Q3,W vs Jakupovic,57% (8/14),75% (6/8),1/4,33% (5/15),20% (1/5),6/6,2/2,3/3,1/1,2/2
2018 Roland Garros Q2,W vs Taylor,80% (8/10),63% (5/8),1/3,30% (3/10),0% (0/3),2/5,2/2,0/0,1/1,0/0
2018 Roland Garros Q1,W vs Boulter,75% (9/12),78% (7/9),5/6,58% (7/12),14% (1/7),4/7,1/3,0/0,1/2,0/0
2018 Bogota R32,L vs Bogdan,40% (4/10),50% (2/4),1/4,67% (6/9),33% (2/6),2/2,0/0,1/1,0/0,1/1
2018 Monterrey R32,L vs Collins,38% (3/8),67% (2/3),1/5,75% (6/8),0% (0/6),0/2,0/0,0/1,0/0,0/1
2018 Miami Q1,L vs Bonaventure,11% (1/9),100% (1/1),1/4,63% (5/8),20% (1/5),1/1,0/0,1/1,0/0,0/0
2018 Indian Wells Q1,L vs Tomljanovic,63% (5/8),60% (3/5),2/7,100% (7/7),0% (0/7),0/3,0/0,0/0,0/0,0/0
2018 Newport Beach R32,L vs Day,27% (3/11),33% (1/3),0/2,50% (5/10),60% (3/5),0/1,0/0,1/1,0/0,0/0
2018 Australian Open R128,L vs Duan,17% (1/6),0% (0/1),0/5,86% (6/7),0% (0/6),0/0,0/0,0/1,0/0,0/1
2018 (21 matches),,53.7%,70.0%,37.1%,61.2%,19.5%,55.7%,75.0%,56.5%,75.0%,44.4%
2017 (48 matches),,56.2%,81.1%,41.9%,53.2%,18.4%,58.4%,55.6%,58.7%,60.9%,66.7%
2016 (39 matches),,43.1%,72.2%,29.2%,44.9%,25.6%,73.0%,75.7%,50.9%,85.7%,45.0%
2015 (25 matches),,43.2%,71.3%,32.8%,37.8%,26.7%,75.0%,90.0%,61.5%,81.8%,42.9%
2014 (16 matches),,53.9%,81.1%,55.6%,53.6%,18.0%,60.0%,58.3%,52.4%,50.0%,60.0%
Career (184 matches),,49.9%,76.6%,38.7%,49.3%,21.0%,62.5%,68.3%,55.2%,73.0%,48.6%
