Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,30,21,9,70.0%,45-27,62.5%,360-284,55.9%,4-3,57.1%,4,55.8%,47.8%,0.7%,8.2%,63.1%,59.5%,38.0%,51.5%,50.0%,50.7%,1.03,W (Charlottesville VA $80K)
2017,12,9,3,75.0%,19-8,70.4%,137-86,61.4%,0-1,0.0%,0,,,,,,,,,,,,F (Rome $60K)
2015,16,11,5,68.8%,24-13,64.9%,191-143,57.2%,2-1,66.7%,0,,,,,,,,,,,,SF (2x)
2014,37,26,11,70.3%,57-31,64.8%,474-374,55.9%,8-6,57.1%,0,,,,,,,,,,,,W (2x)
2013,25,20,5,80.0%,39-13,75.0%,278-178,61.0%,2-0,100.0%,0,,,,,,,,,,,,W (3x)
2012,25,18,7,72.0%,40-20,66.7%,318-241,56.9%,6-3,66.7%,0,,,,,,,,,,,,W (2x)
2011,31,21,10,67.7%,46-23,66.7%,366-265,58.0%,2-3,40.0%,0,,,,,,,,,,,,W (2x)
2010,21,13,8,61.9%,31-18,63.3%,244-203,54.6%,4-1,80.0%,0,,,,,,,,,,,,F (Cali 75K)
2009,4,2,2,50.0%,4-5,44.4%,44-44,50.0%,1-2,33.3%,0,,,,,,,,,,,,R16 (2x)
2008,40,27,13,67.5%,59-32,64.8%,460-371,55.4%,5-1,83.3%,0,,,,,,,,,,,,W (2x)
2007,48,36,12,75.0%,75-32,70.1%,571-425,57.3%,8-4,66.7%,0,,,,,,,,,,,,W (3x)
2006,45,37,8,82.2%,71-20,78.0%,503-312,61.7%,2-2,50.0%,0,,,,,,,,,,,,W (3x)
2005,17,8,9,47.1%,19-19,50.0%,185-176,51.2%,2-3,40.0%,0,,,,,,,,,,,,SF (Bogota 10K)
2004,5,1,4,20.0%,3-8,27.3%,42-54,43.8%,0-2,0.0%,0,,,,,,,,,,,,R16 (Bogota 10K)
Career,356,250,106,70.2%,532-269,66.4%,4173-3156,56.9%,46-32,59.0%,4,55.8%,47.8%,0.7%,8.2%,63.1%,59.5%,38.0%,51.5%,50.0%,50.7%,1.03,
