Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2006 Australian Open R32,L vs Federer,91.3%,59.6%,58.4%,54.8%,5.6%,16.7%,0.0%,5.6%,25.0%,1.0%,100.0%,4,67
2004 Paris SF,L vs Stepanek,95.3%,63.0%,46.6%,60.7%,16.7%,0.0%,0.0%,16.7%,33.3%,1.1%,0.0%,20,47
2004 Canada R16,L vs Federer,98.6%,66.2%,58.5%,59.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,0.0%,48,73
2003 Cincinnati SF,L vs Roddick,94.6%,69.8%,53.1%,63.8%,14.3%,0.0%,0.0%,0.0%,0.0%,1.7%,0.0%,103,112
2002 Hamburg SF,L vs Federer,89.6%,58.0%,57.1%,57.5%,20.0%,25.0%,0.0%,12.5%,25.0%,1.1%,0.0%,40,68
2001 Stuttgart F,L vs Haas,74.6%,52.0%,44.3%,50.0%,10.5%,8.3%,0.0%,0.0%,0.0%,2.2%,0.0%,12,40
2001 Stuttgart SF,W vs Kafelnikov,81.3%,61.5%,39.4%,64.3%,16.7%,33.3%,0.0%,5.3%,14.3%,0.9%,0.0%,21,71
2001 US Open R32,L vs Kuerten,87.0%,68.0%,52.8%,60.0%,8.8%,18.2%,0.0%,24.0%,38.5%,2.0%,25.0%,48,95
Career (8 matches),,89.0%,63.0%,51.6%,58.8%,12.4%,17.0%,0.0%,11.3%,26.3%,1.5%,16.7%,36,74
