Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,28.6%,12.5%,7.1%,7.1%,40.5%,58.8%,28.0%,40.5%,34.0%,37.0%,0.57,R32 (Canberra 125)
2025,49,35,14,71.4%,79-37,68.1%,629-464,57.5%,5-6,45.5%,49,69.7%,46.3%,2.8%,10.3%,52.8%,69.0%,46.6%,58.4%,48.3%,53.2%,1.16,W (2x)
2024,24,14,10,58.3%,31-22,58.5%,277-223,55.4%,1-7,12.5%,0,,,,,,,,,,,,F (W35 Sunderland)
2023,30,22,8,73.3%,45-23,66.2%,359-277,56.4%,4-2,66.7%,0,,,,,,,,,,,,W (3x)
2022,32,21,11,65.6%,42-30,58.3%,357-316,53.0%,5-3,62.5%,0,,,,,,,,,,,,F (W60 Istanbul)
2021,13,7,6,53.8%,14-13,51.9%,125-124,50.2%,1-1,50.0%,0,,,,,,,,,,,,F (W25 Milovice)
Career,149,99,50,66.4%,211-127,62.4%,1750-1416,55.3%,16-19,45.7%,50,69.1%,45.8%,2.9%,10.2%,52.6%,68.9%,46.3%,58.2%,48.1%,53.0%,1.15,
