Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,16,9,7,56.3%,21-17,55.3%,175-182,49.0%,2-1,66.7%,16,65.3%,32.6%,4.6%,7.0%,53.6%,66.3%,44.3%,56.1%,43.1%,49.6%,0.98
Clay,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,33.3%,25.0%,0.0%,10.0%,58.0%,44.8%,28.6%,38.0%,37.0%,37.5%,0.60
Grand Slams,3,2,1,66.7%,4-4,50.0%,29-40,42.0%,1-0,100.0%,3,48.6%,33.3%,1.8%,5.0%,55.3%,59.5%,35.7%,48.9%,44.2%,46.7%,0.86
Premiers,5,3,2,60.0%,7-4,63.6%,57-50,53.3%,1-0,100.0%,5,76.9%,29.6%,5.1%,10.8%,48.1%,72.5%,48.4%,60.0%,43.9%,51.5%,1.10
Internationals,9,4,5,44.4%,10-11,47.6%,94-104,47.5%,0-1,0.0%,9,62.2%,33.3%,4.8%,5.8%,56.5%,63.8%,43.4%,54.9%,41.8%,48.5%,0.93
Semi-finals,1,0,1,0.0%,1-2,33.3%,13-18,41.9%,1-0,100.0%,1,64.3%,18.8%,8.3%,11.0%,51.4%,62.5%,43.4%,53.2%,39.3%,46.0%,0.84
Quarter-finals,2,1,1,50.0%,2-2,50.0%,17-21,44.7%,0-0,-,2,63.2%,26.3%,2.6%,10.5%,49.1%,69.6%,46.6%,57.9%,37.5%,48.2%,0.89
vs Righties,14,8,6,57.1%,19-15,55.9%,156-164,48.8%,2-1,66.7%,14,62.3%,34.8%,4.6%,6.6%,54.8%,63.6%,43.9%,54.7%,43.7%,49.3%,0.96
vs Lefties,2,0,2,0.0%,0-4,0.0%,12-24,33.3%,0-0,-,2,64.7%,5.3%,2.2%,9.4%,52.9%,72.6%,35.4%,55.1%,34.0%,44.2%,0.76
vs Top 10,1,1,0,100.0%,2-1,66.7%,12-13,48.0%,0-0,-,1,53.8%,41.7%,1.3%,2.6%,51.9%,60.0%,40.5%,50.6%,47.3%,49.0%,0.96
