Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),178,338,79,1741,81,1686,49,1726,,,,,,
2025,115,538,79,1741,83,1686,52,1726,,,,,,
2024,90,639,107,1691,100,1660,81,1676,80,1605,,,,
2023,37,1135,32,1832,27,1799,21,1811,40,1676,,,,
2022,26,1685,18,1928,16,1898,21,1830,,,,,,
2021,73,874,,,,,,,,,,,,
2020,24,1855,23,1857,21,1820,21,1800,,,,,,
2019,28,1415,41,1827,41,1775,25,1794,29,1723,,,,
2018,12,2480,14,1978,13,1918,12,1887,24,1752,451,45,,
2017,48,1001,57,1791,54,1738,47,1762,112,1546,,,,
2016,48,945,30,1868,32,1814,32,1803,76,1609,415,135,,
2015,44,941,36,1839,45,1754,34,1794,82,1610,,,,
2014,102,557,66,1760,58,1738,118,1596,135,1525,777,49,,
2013,303,147,,,,,,,,,836,40,,
2012,1308,3,,,,,,,,,,,,
