Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,12,2,10,16.7%,7-24,22.6%,131-181,42.0%,1-5,16.7%,12,72.7%,12.8%,6.2%,5.0%,56.4%,69.3%,50.9%,61.3%,31.5%,46.3%,0.81
Clay,1,0,1,0.0%,1-2,33.3%,15-17,46.9%,0-0,-,1,81.3%,12.5%,4.7%,2.8%,69.8%,73.0%,37.5%,62.3%,35.1%,49.3%,0.93
Grand Slams,3,0,3,0.0%,1-9,10.0%,35-60,36.8%,0-1,0.0%,3,62.2%,12.2%,6.0%,5.6%,54.6%,65.8%,47.3%,57.4%,29.1%,43.7%,0.68
Masters,3,0,3,0.0%,2-6,25.0%,37-47,44.0%,0-1,0.0%,3,75.6%,14.3%,4.9%,4.1%,59.0%,68.4%,48.2%,60.1%,31.0%,46.2%,0.78
Other Tours,7,2,5,28.6%,5-11,31.3%,74-91,44.8%,1-3,25.0%,7,78.8%,12.3%,6.7%,4.6%,58.9%,72.6%,52.5%,64.3%,33.6%,48.4%,0.94
Best of 5,3,0,3,0.0%,1-9,10.0%,35-60,36.8%,0-1,0.0%,3,62.2%,12.2%,6.0%,5.6%,54.6%,65.8%,47.3%,57.4%,29.1%,43.7%,0.68
Best of 3,10,2,8,20.0%,7-17,29.2%,111-138,44.6%,1-4,20.0%,10,77.7%,13.0%,6.0%,4.5%,58.9%,71.1%,51.0%,62.8%,32.8%,47.7%,0.88
vs Righties,10,2,8,20.0%,7-19,26.9%,112-149,42.9%,1-3,25.0%,10,74.6%,12.2%,5.9%,4.7%,58.8%,69.6%,49.4%,61.3%,31.7%,46.7%,0.82
vs Lefties,3,0,3,0.0%,1-7,12.5%,34-49,41.0%,0-2,0.0%,3,70.0%,14.6%,6.5%,5.2%,53.9%,70.4%,51.4%,61.6%,32.4%,46.3%,0.85
vs Top 10,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,62.5%,0.0%,5.6%,9.3%,50.0%,70.4%,40.7%,55.6%,30.4%,42.7%,0.68
