Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Winston-Salem R64,L vs Blanch,18,23,0.8,12.7%,16.2%,13,19,0.7,10.7%,15.6%,4.1%,4.9%,1.1,17.6%,15.5%
2025 Aix-en-Provence CH F,W vs Wawrinka,21,37,0.6,9.8%,17.2%,17,37,0.5,8.5%,18.6%,5.5%,2.5%,0.7,17.2%,24.2%
2025 Thionville CH F,W vs Bouquier,22,18,1.2,16.2%,13.2%,16,16,1.0,14.0%,14.0%,7.9%,4.4%,1.1,15.4%,14.0%
2024 US Open R128,L vs Mannarino,23,50,0.5,14.2%,30.9%,16,45,0.4,11.2%,31.5%,5.6%,4.9%,0.3,6.2%,18.5%
2024 Canada Masters R32,L vs Sinner,19,28,0.7,15.6%,23.0%,13,25,0.5,12.7%,24.5%,6.9%,2.9%,1.3,19.7%,15.6%
2024 Canada Masters Q1,W vs Draxl,28,20,1.4,24.3%,17.4%,21,18,1.2,21.4%,18.4%,17.3%,4.1%,0.8,10.4%,13.9%
2024 Wimbledon R64,L vs Tiafoe,23,30,0.8,13.1%,17.0%,17,29,0.6,10.9%,18.6%,5.1%,4.5%,1.9,18.2%,9.7%
2024 Wimbledon R128,W vs Meligeni Alves,33,30,1.1,17.3%,15.7%,20,28,0.7,11.9%,16.7%,7.1%,3.6%,0.8,13.1%,17.3%
2024 Roland Garros R128,L vs Gasquet,49,47,1.0,21.9%,21.0%,37,43,0.9,19.0%,22.1%,8.7%,9.7%,2.0,20.1%,10.3%
2024 Montpellier F,L vs Bublik,21,20,1.1,12.1%,11.5%,16,19,0.8,11.2%,13.3%,7.0%,4.2%,1.0,21.8%,23.0%
2023 US Open R128,L vs Baez,17,54,0.3,8.5%,27.0%,14,52,0.3,7.4%,27.7%,2.7%,4.8%,0.6,10.5%,19.0%
2023 Cincinnati Masters R32,L vs Hurkacz,18,47,0.4,10.4%,27.2%,16,45,0.4,10.2%,28.7%,8.3%,1.9%,0.5,11.6%,22.5%
2023 Wimbledon R128,L vs Pella,62,55,1.1,21.3%,18.9%,46,54,0.9,17.4%,20.4%,9.1%,5.7%,1.2,14.4%,12.4%
2023 Halle R32,L vs Bublik,9,24,0.4,9.2%,24.5%,8,23,0.3,10.3%,29.5%,10.3%,0.0%,1.5,26.5%,17.3%
2023 Madrid Masters SF,L vs Alcaraz,16,20,0.8,13.3%,16.7%,14,18,0.8,12.8%,16.5%,5.5%,6.4%,1.4,19.2%,14.2%
2023 Madrid Masters QF,W vs Altmaier,17,11,1.5,18.3%,11.8%,15,11,1.4,17.4%,12.8%,10.5%,5.8%,0.5,9.7%,20.4%
2023 Madrid Masters R16,W vs Davidovich Fokina,37,42,0.9,18.2%,20.7%,31,40,0.8,16.1%,20.7%,9.8%,6.2%,0.6,11.3%,18.2%
2023 Madrid Masters R32,W vs Hurkacz,22,26,0.8,16.7%,19.7%,17,25,0.7,14.2%,20.8%,10.8%,3.3%,0.6,12.1%,21.2%
2023 Monte Carlo Masters R64,L vs Jarry,14,23,0.6,15.4%,25.3%,11,22,0.5,13.3%,26.5%,1.2%,1.2%,1.5,28.6%,18.7%
2023 Dubai QF,L vs Medvedev,10,18,0.6,10.6%,19.1%,10,17,0.6,11.6%,19.8%,5.8%,5.8%,1.6,22.3%,13.8%
Career (112 matches),,2835,3560,0.8,14.5%,18.3%,2246,3324,0.7,13.0%,19.2%,6.8%,3.6%,0.9,15.5%,17.1%
