Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,261,158,103,60.5%,355-234,60.3%,2925-2531,53.6%,37-28,56.9%,169,-,-,4.8%,8.4%,62.8%,65.3%,42.4%,56.8%,46.3%,51.5%,1.07
Clay,139,101,38,72.7%,211-100,67.8%,1640-1202,57.7%,15-12,55.6%,89,-,-,3.8%,6.3%,64.6%,63.9%,45.7%,57.4%,48.7%,53.1%,1.14
Grass,40,26,14,65.0%,57-36,61.3%,484-416,53.8%,5-4,55.6%,30,-,-,5.4%,6.3%,65.7%,68.8%,47.4%,61.4%,41.5%,51.4%,1.08
Carpet,25,17,8,68.0%,34-26,56.7%,285-280,50.4%,4-2,66.7%,10,-,-,4.4%,5.3%,68.5%,60.9%,46.7%,56.4%,41.0%,49.2%,0.94
Grand Slams,98,65,33,66.3%,140-80,63.6%,1097-911,54.6%,10-11,47.6%,86,-,-,4.1%,7.4%,62.3%,66.1%,43.7%,57.6%,46.2%,51.8%,1.09
Premiers,229,144,85,62.9%,315-211,59.9%,2644-2261,53.9%,32-24,57.1%,156,-,-,4.8%,7.1%,65.0%,64.0%,44.3%,57.1%,46.8%,52.0%,1.09
Internationals,95,67,28,70.5%,143-70,67.1%,1109-830,57.2%,11-7,61.1%,31,-,-,4.8%,6.9%,64.2%,66.7%,45.3%,59.1%,45.7%,52.5%,1.12
Finals,23,11,12,47.8%,23-27,46.0%,225-231,49.3%,1-1,50.0%,15,-,-,4.7%,5.7%,65.0%,62.5%,41.9%,55.3%,42.2%,48.6%,0.95
Semi-finals,38,23,15,60.5%,47-36,56.6%,398-365,52.2%,5-5,50.0%,23,-,-,4.7%,7.1%,64.2%,64.4%,43.2%,56.8%,46.0%,51.5%,1.06
Quarter-finals,67,36,31,53.7%,77-76,50.3%,720-698,50.8%,5-8,38.5%,46,-,-,4.3%,7.4%,64.2%,62.5%,41.1%,54.9%,44.7%,49.8%,0.99
vs Righties,435,278,157,63.9%,606-375,61.8%,4940-4187,54.1%,60-43,58.3%,283,-,-,4.6%,7.4%,63.9%,64.7%,43.9%,57.2%,46.2%,51.7%,1.08
vs Lefties,26,20,6,76.9%,43-20,68.3%,341-212,61.7%,1-3,25.0%,12,-,-,4.2%,8.7%,61.2%,71.3%,44.0%,60.7%,49.2%,55.1%,1.25
vs Top 10,85,26,59,30.6%,63-128,33.0%,748-995,42.9%,9-11,45.0%,66,-,-,3.6%,6.9%,63.2%,59.8%,40.4%,52.7%,41.6%,47.2%,0.88
