Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2011 Hobart R32,L vs Bartoli,9.7%,17.7%,34.0%,11.4%,22.7%,38.5%,52.2%,14.3%,0.0%,6.7%,6.7%,21.4%,50.0%,55.6%,50.0%,-55
2010 Sydney QF,L vs Dementieva,17.9%,30.4%,38.1%,21.6%,37.8%,44.8%,5.9%,60.0%,100.0%,12.5%,25.0%,28.6%,0.0%,66.7%,100.0%,-4
2009 Cincinnati F,L vs Jankovic,16.4%,21.8%,41.4%,34.6%,42.3%,35.3%,41.7%,28.6%,16.7%,0.0%,8.3%,50.0%,25.0%,50.0%,-,-119
2009 Wimbledon SF,L vs Williams,13.9%,19.4%,24.1%,12.5%,16.7%,19.0%,16.7%,41.7%,25.0%,20.0%,30.0%,37.5%,0.0%,28.6%,-,73
2009 Wimbledon QF,W vs Lisicki,26.0%,35.6%,59.7%,28.1%,40.6%,63.0%,17.2%,25.7%,25.0%,36.0%,44.0%,50.0%,0.0%,37.5%,100.0%,140
2009 Roland Garros F,L vs Kuznetsova,10.2%,18.4%,45.9%,10.0%,23.3%,48.1%,21.4%,56.3%,33.3%,16.7%,16.7%,40.0%,14.3%,20.0%,-,2
2009 Roland Garros SF,W vs Cibulkova,23.0%,25.7%,54.0%,24.1%,27.8%,53.7%,46.4%,53.8%,100.0%,30.8%,30.8%,55.6%,0.0%,87.5%,100.0%,111
2009 Madrid F,W vs Wozniacki,18.6%,27.1%,57.1%,15.7%,25.5%,55.8%,52.0%,50.0%,100.0%,27.8%,33.3%,61.5%,33.3%,25.0%,0.0%,-40
2009 Madrid SF,W vs Schnyder,12.7%,27.0%,65.3%,15.9%,34.1%,70.3%,31.8%,36.4%,33.3%,7.7%,15.4%,50.0%,100.0%,0.0%,0.0%,-58
2009 Rome F,W vs Kuznetsova,16.9%,29.2%,50.0%,15.2%,28.3%,48.7%,33.3%,68.0%,66.7%,23.5%,35.3%,53.8%,20.0%,57.1%,66.7%,-37
2009 Australian Open F,L vs Williams,14.3%,20.4%,37.8%,13.8%,24.1%,44.0%,42.9%,46.7%,100.0%,20.0%,20.0%,25.0%,55.6%,83.3%,-,54
2009 Australian Open SF,W vs Zvonareva,24.1%,34.2%,45.5%,26.7%,42.2%,51.5%,50.0%,34.8%,50.0%,24.1%,27.6%,36.4%,33.3%,35.3%,66.7%,73
2009 Sydney F,L vs Dementieva,22.7%,30.7%,44.4%,27.8%,37.0%,43.6%,22.7%,46.9%,57.1%,17.2%,24.1%,45.8%,0.0%,14.3%,-,51
2008 Tokyo F,W vs Kuznetsova,36.2%,48.3%,46.9%,45.5%,63.6%,66.7%,42.1%,28.6%,0.0%,30.0%,35.0%,21.4%,25.0%,33.3%,0.0%,137
2008 US Open SF,L vs Williams,20.6%,29.4%,37.5%,21.7%,34.8%,41.7%,28.6%,40.0%,12.5%,25.0%,25.0%,25.0%,10.0%,0.0%,0.0%,90
2008 Olympics F,L vs Dementieva,30.4%,36.5%,41.3%,43.5%,54.8%,45.7%,56.3%,53.3%,70.0%,22.2%,22.2%,35.7%,25.0%,45.0%,0.0%,55
2008 Olympics SF,W vs Li,33.3%,37.8%,45.8%,41.2%,49.0%,43.3%,30.4%,21.4%,0.0%,33.3%,33.3%,50.0%,41.7%,46.7%,50.0%,147
2008 Montreal F,W vs Cibulkova,36.4%,40.0%,43.3%,41.9%,45.2%,44.4%,50.0%,46.7%,66.7%,36.8%,42.1%,41.7%,42.9%,25.0%,33.3%,147
2008 Roland Garros F,L vs Ivanovic,13.5%,25.7%,45.8%,14.0%,32.0%,46.5%,45.5%,57.1%,75.0%,15.8%,15.8%,43.8%,45.5%,37.5%,60.0%,25
2008 Roland Garros SF,W vs Kuznetsova,16.4%,23.3%,49.1%,14.0%,22.0%,51.2%,25.0%,59.1%,60.0%,29.4%,35.3%,41.7%,33.3%,81.8%,-,131
Career (22 matches),,22.1%,30.0%,45.7%,25.2%,36.1%,48.3%,36.1%,43.1%,44.8%,22.8%,26.8%,40.1%,25.4%,40.3%,48.6%,80
