Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Ostrava R32,L vs Volynets,4.3,4.0,4.5,39.5%,37.9%,12.5%,22.2%,50.3%,9.0%,-2.5,-3.5,-0.5,-0.7
2026 Australian Open R64,L vs Svitolina,3.4,3.9,3.0,40.5%,51.9%,28.6%,25.0%,47.3%,7.7%,5.0,7.6,-1.5,-2.1
2025 US Open Q2,L vs Semenistaja,4.8,4.9,4.8,40.8%,50.0%,53.8%,47.1%,44.6%,4.5%,14.0,9.9,5.0,2.9
2025 Wimbledon Q1,L vs Jovic,3.8,3.5,4.0,49.6%,56.3%,32.0%,53.3%,56.4%,13.1%,15.5,9.8,7.0,5.9
2025 Roland Garros Q1,W vs Fruhvirtova,4.6,4.5,4.8,58.2%,50.0%,29.4%,73.3%,47.0%,10.0%,10.0,8.5,15.5,12.4
2024 W50 Palma Del Rio F,W vs Kung,3.5,3.3,3.7,54.9%,52.4%,33.3%,57.1%,46.3%,7.0%,9.5,10.4,12.0,11.2
2024 W50 Palma Del Rio QF,W vs Uebelhoer,4.5,4.1,4.8,61.8%,45.7%,61.5%,41.7%,32.1%,11.6%,5.0,8.2,10.5,8.1
2024 W50 Palma Del Rio R16,W vs Sieg,5.9,5.1,6.6,50.0%,55.6%,55.0%,60.9%,63.3%,5.2%,21.5,11.7,5.5,5.0
2024 W50 Palma Del Rio R32,W vs Kubka,3.1,3.5,2.8,54.4%,60.9%,85.7%,50.0%,50.0%,6.3%,14.5,29.6,8.0,13.6
2023 ITF Murska Sobota R32,L vs Sramkova,4.1,3.9,4.3,46.3%,31.6%,46.2%,28.6%,54.7%,13.4%,-0.5,-0.5,4.0,5.6
2023 ITF Murska Sobota Q2,L vs Radakovic,5.4,4.8,6.0,63.4%,66.7%,61.9%,37.5%,55.3%,3.5%,16.5,12.0,9.0,8.1
2022 ITF Trnava Q2,L vs Kanev,3.7,3.8,3.7,49.3%,28.6%,38.5%,66.7%,62.0%,7.1%,1.0,0.9,-1.0,-1.5
Last 52 Weeks (5 matches),,4.2,4.1,4.2,46.6%,50.0%,36.1%,48.4%,49.3%,8.7%,8.4,7.6,5.1,4.6
Career (12 matches),,4.2,4.1,4.4,50.6%,48.3%,45.6%,48.9%,51.1%,8.2%,9.1,8.5,6.1,6.1
