Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Ostrava R32,L vs Volynets,25.6%,25.6%,16.7%,34.8%,34.8%,13.3%,46.2%,40.0%,33.3%,16.7%,16.7%,20.0%,11.1%,33.3%,75.0%,17
2026 Australian Open R64,L vs Svitolina,18.2%,27.3%,42.9%,29.6%,44.4%,47.4%,57.1%,38.5%,100.0%,8.0%,12.0%,39.1%,27.3%,35.7%,66.7%,-36
2025 US Open Q2,L vs Semenistaja,16.9%,23.9%,46.3%,25.0%,33.3%,51.9%,57.1%,54.5%,60.0%,10.0%,16.7%,40.7%,47.4%,45.5%,100.0%,-20
2025 Wimbledon Q1,L vs Jovic,34.0%,38.1%,40.4%,43.4%,49.1%,46.7%,50.0%,48.4%,28.6%,27.0%,29.7%,33.3%,15.0%,29.4%,0.0%,88
2025 Roland Garros Q1,W vs Fruhvirtova,24.6%,40.0%,61.7%,33.3%,55.6%,58.3%,47.4%,17.6%,0.0%,14.8%,22.2%,65.2%,11.1%,50.0%,50.0%,-21
2024 W50 Palma Del Rio F,W vs Kung,26.8%,40.8%,46.5%,36.4%,54.5%,50.0%,61.9%,39.1%,25.0%,16.7%,27.8%,40.0%,30.0%,12.5%,0.0%,38
2024 W50 Palma Del Rio QF,W vs Uebelhoer,29.6%,38.9%,65.7%,34.4%,46.9%,57.1%,42.1%,53.8%,-,26.3%,31.6%,78.6%,42.9%,25.0%,0.0%,61
2024 W50 Palma Del Rio R16,W vs Sieg,21.0%,27.4%,52.2%,27.8%,38.9%,46.2%,46.2%,52.2%,66.7%,13.0%,13.0%,60.0%,21.4%,22.2%,0.0%,14
2024 W50 Palma Del Rio R32,W vs Kubka,37.0%,46.3%,62.5%,41.9%,51.6%,61.1%,41.7%,42.1%,-,33.3%,42.9%,64.3%,18.2%,50.0%,0.0%,1
2023 ITF Murska Sobota R32,L vs Sramkova,19.0%,27.0%,39.6%,21.2%,27.3%,38.5%,27.8%,46.7%,100.0%,18.5%,29.6%,40.9%,38.5%,50.0%,60.0%,17
2023 ITF Murska Sobota Q2,L vs Radakovic,25.0%,32.7%,60.5%,36.4%,48.5%,57.1%,46.7%,61.1%,-,5.6%,5.6%,64.7%,12.5%,60.0%,100.0%,-58
2022 ITF Trnava Q2,L vs Kanev,23.4%,27.3%,29.8%,25.6%,32.6%,40.6%,44.4%,68.0%,62.5%,21.9%,21.9%,16.0%,22.2%,21.4%,20.0%,-33
Last 52 Weeks (5 matches),,24.8%,32.0%,43.5%,34.3%,44.6%,46.1%,51.2%,41.9%,41.2%,16.1%,20.4%,40.9%,25.0%,39.1%,63.6%,43
Career (12 matches),,25.3%,33.1%,46.5%,32.8%,43.6%,47.7%,47.5%,48.0%,51.4%,18.0%,22.7%,45.0%,25.5%,37.0%,44.4%,31
