Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,87,41,46,47.1%,108-117,48.0%,1152-1178,49.4%,32-35,47.8%,77,84.0%,13.5%,13.6%,4.0%,68.3%,73.9%,51.2%,66.7%,31.9%,49.4%,0.96
Clay,3,0,3,0.0%,2-7,22.2%,43-55,43.9%,1-3,25.0%,3,85.1%,4.3%,9.3%,2.5%,73.8%,70.9%,47.6%,64.8%,23.6%,45.7%,0.67
Grass,23,10,13,43.5%,26-33,44.1%,289-319,47.5%,9-6,60.0%,21,83.5%,11.2%,13.7%,4.1%,70.0%,73.0%,52.3%,66.8%,31.7%,49.0%,0.95
Carpet,13,7,6,53.8%,19-19,50.0%,202-207,49.4%,5-5,50.0%,9,84.9%,10.4%,14.5%,3.1%,69.4%,75.1%,52.0%,68.0%,30.3%,49.5%,0.95
Grand Slams,15,6,9,40.0%,26-33,44.1%,293-320,47.8%,9-7,56.3%,15,84.5%,11.3%,12.1%,3.9%,69.7%,72.2%,52.0%,66.1%,30.5%,48.9%,0.90
Masters,9,2,7,22.2%,6-15,28.6%,101-118,46.1%,1-6,14.3%,9,79.6%,13.5%,12.9%,4.7%,70.2%,74.7%,49.5%,67.2%,30.7%,48.9%,0.94
Other Tours,86,39,47,45.3%,88-107,45.1%,970-1039,48.3%,26-29,47.3%,86,84.3%,12.7%,14.0%,3.8%,68.5%,74.1%,51.3%,66.9%,31.9%,49.3%,0.96
Best of 5,26,14,12,53.8%,53-49,52.0%,544-540,50.2%,17-13,56.7%,15,84.5%,11.3%,12.1%,3.9%,69.7%,72.2%,52.0%,66.1%,30.5%,48.9%,0.90
Best of 3,100,44,56,44.0%,102-127,44.5%,1142-1219,48.4%,30-36,45.5%,95,83.8%,12.8%,13.9%,3.9%,68.7%,74.2%,51.2%,67.0%,31.8%,49.3%,0.96
Finals,1,1,0,100.0%,2-1,66.7%,14-16,46.7%,1-0,100.0%,1,78.6%,13.3%,10.8%,0.0%,72.5%,68.9%,46.4%,62.7%,31.5%,48.2%,0.84
Semi-finals,4,1,3,25.0%,2-7,22.2%,42-51,45.2%,1-2,33.3%,4,82.2%,8.9%,12.8%,3.2%,69.0%,69.4%,48.5%,62.9%,30.9%,47.5%,0.83
Quarter-finals,7,4,3,57.1%,7-6,53.8%,69-68,50.4%,2-2,50.0%,7,91.2%,14.3%,13.1%,4.1%,69.9%,76.0%,52.9%,69.1%,30.3%,50.3%,0.98
vs Righties,112,50,62,44.6%,133-158,45.7%,1451-1547,48.4%,41-41,50.0%,99,83.0%,12.5%,13.5%,4.0%,68.7%,73.7%,51.1%,66.6%,31.6%,49.1%,0.95
vs Lefties,14,8,6,57.1%,22-18,55.0%,235-212,52.6%,6-8,42.9%,11,91.5%,12.1%,13.9%,3.2%,70.4%,73.6%,53.5%,67.6%,30.9%,50.2%,0.96
vs Top 10,11,2,9,18.2%,5-25,16.7%,127-182,41.1%,3-7,30.0%,11,78.8%,5.2%,12.0%,3.4%,69.2%,70.4%,46.7%,63.1%,27.3%,46.1%,0.74
