Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2011,,,,,,,,,,,182,360,,
2010,,,,,,,,,,,14,3500,26,1759
2009,,,,,,,,,,,10,4550,10,1822
2009,,,,,,,,,,,10,4550,10,1822
2008,910,12,195,1543,160,1530,321,1336,86,1573,14,2380,25,1761
2007,162,261,119,1653,100,1621,267,1400,59,1643,49,1052,42,1672
2006,122,370,82,1706,68,1680,243,1429,51,1656,47,1070,47,1658
2005,63,583,60,1777,52,1727,,,41,1701,24,1689,57,1643
2004,137,321,138,1621,130,1576,267,1392,80,1589,172,279,96,1520
2003,82,445,128,1627,121,1576,267,1406,55,1643,178,265,,
2002,246,119,306,1375,297,1315,,,178,1442,188,240,,
2001,615,26,,,,,,,,,200,280,,
2000,336,86,,,,,,,,,285,169,,
1998,1324,1,,,,,,,,,1384,1,,
