Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,20,5,15,25.0%,13-30,30.2%,158-239,39.8%,4-3,57.1%,18,57.3%,26.2%,2.0%,7.1%,61.1%,57.9%,45.3%,53.0%,40.1%,46.5%,0.85
Clay,10,2,8,20.0%,5-18,21.7%,85-128,39.9%,1-2,33.3%,5,47.4%,21.4%,1.5%,7.7%,66.0%,58.4%,30.9%,49.1%,35.8%,42.7%,0.70
Grass,9,3,6,33.3%,7-13,35.0%,82-99,45.3%,0-1,0.0%,9,68.8%,25.3%,1.7%,5.9%,64.0%,64.8%,40.3%,55.9%,38.1%,47.1%,0.87
Grand Slams,6,2,4,33.3%,5-9,35.7%,59-70,45.7%,0-1,0.0%,6,69.1%,29.3%,0.8%,5.8%,64.6%,65.0%,39.7%,56.0%,39.2%,47.4%,0.89
Premiers,2,0,2,0.0%,0-4,0.0%,5-24,17.2%,0-0,-,2,14.3%,20.0%,2.4%,13.1%,65.5%,38.2%,34.5%,36.9%,40.2%,38.7%,0.64
Internationals,19,5,14,26.3%,13-28,31.7%,153-221,40.9%,3-3,50.0%,19,59.0%,25.0%,2.3%,6.7%,62.0%,58.5%,42.7%,52.5%,39.5%,46.0%,0.83
Quarter-finals,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-1,0.0%,1,36.4%,50.0%,1.1%,3.4%,58.6%,51.0%,36.1%,44.8%,47.9%,46.3%,0.87
vs Righties,36,10,26,27.8%,24-55,30.4%,297-424,41.2%,5-5,50.0%,31,58.4%,25.6%,1.8%,6.9%,62.3%,59.4%,42.1%,52.9%,39.2%,46.1%,0.83
vs Lefties,2,0,2,0.0%,1-4,20.0%,22-30,42.3%,0-1,0.0%,1,73.3%,18.8%,4.1%,7.2%,70.1%,69.1%,37.9%,59.8%,31.7%,46.9%,0.79
vs Top 10,2,0,2,0.0%,1-4,20.0%,18-28,39.1%,0-0,-,1,71.4%,20.0%,2.2%,8.6%,67.7%,69.8%,26.7%,55.9%,36.8%,46.7%,0.83
