Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 BJK Cup Playoffs: FRA vs NED RR,L vs Cornet,0.87,0.36,30.7,2.0,0.0%,42.9%,0.0%,35.3%,14.3%,36.8%
2022 BJK Cup Playoffs: FRA vs NED RR,L vs Garcia,0.97,0.62,48.7,2.3,2.7%,48.6%,0.0%,58.3%,27.6%,32.1%
2022 Wimbledon R64,L vs Swiatek,0.95,0.79,64.7,3.1,2.1%,50.0%,2.2%,62.2%,34.0%,40.0%
2022 Wimbledon R128,W vs Kartal,1.13,1.33,51.4,2.8,0.0%,51.2%,2.6%,65.8%,44.7%,54.3%
2022 BJK Cup QLS R1: ESP vs NED RR,L vs Sorribes Tormo,0.98,0.76,49.5,2.0,0.0%,47.2%,0.0%,45.7%,43.3%,39.3%
2021 Wimbledon R64,L vs Muguruza,1.13,0.49,46.7,2.3,0.0%,45.2%,0.0%,50.0%,25.0%,20.0%
2021 Wimbledon R128,W vs Kuznetsova,1.30,1.74,39.4,2.3,0.0%,63.0%,0.0%,69.6%,50.0%,40.7%
2021 BJK Cup Playoffs: NED vs CHN RR,L vs Wang,0.98,0.78,64.3,4.6,0.0%,58.0%,8.5%,61.7%,34.8%,27.8%
2019 Guangzhou R32,L vs Petkovic,1.00,0.89,70.4,2.5,1.7%,46.6%,1.8%,42.9%,46.0%,52.7%
2019 W25 Chiswick SF,W vs Arn,1.07,1.40,57.6,3.0,-,77.1%,-,57.6%,35.0%,50.0%
2019 W25 Woking F,W vs Ozgen,1.07,1.13,69.9,4.3,-,57.8%,-,42.1%,47.4%,56.8%
2019 W25 Woking QF,W vs Grey,1.04,1.38,54.2,2.3,-,64.7%,-,60.7%,51.7%,46.4%
2019 Wimbledon R128,L vs Jorovic,0.94,0.86,67.2,4.0,-,47.2%,-,63.6%,43.5%,38.6%
2019 W25 Bolton QF,L vs Minnen,0.93,0.89,75.0,4.8,1.7%,66.7%,0.0%,45.5%,41.8%,41.2%
2019 W25 Bolton R16,W vs Stojanovic,1.13,1.72,50.1,2.2,6.9%,86.2%,4.3%,56.5%,35.3%,46.9%
2019 W25 Bolton R32,W vs Lumsden,0.98,1.14,71.2,6.8,1.7%,60.0%,0.0%,54.7%,47.5%,50.9%
2019 W60 Croissy Beaubourg R32,L vs Lottner,0.96,0.91,94.4,7.1,4.6%,60.0%,5.3%,63.2%,35.6%,37.0%
2019 W25 Macon F,L vs Georges,0.89,0.68,48.9,2.2,6.5%,54.8%,3.8%,57.7%,32.3%,34.5%
2019 W25 Macon QF,W vs Shoshyna,0.93,1.27,63.8,3.4,14.3%,64.3%,5.0%,62.5%,53.1%,46.4%
2019 W25 Macon R16,W vs Gervais,1.07,1.62,45.4,2.1,3.2%,80.6%,7.4%,55.6%,48.6%,45.2%
2022 (5 matches),,0.99,0.79,51.7,2.4,1.1%,48.6%,1.2%,56.1%,34.5%,41.3%
2021 (3 matches),,1.10,0.88,52.8,2.8,0.0%,55.6%,4.0%,60.0%,36.7%,30.1%
2019 (23 matches),,1.01,1.11,60.8,2.8,3.8%,61.4%,2.3%,55.9%,44.7%,46.2%
2018 (7 matches),,1.05,1.05,55.9,2.8,1.6%,62.4%,1.7%,55.0%,39.7%,42.9%
2017 (27 matches),,1.00,0.98,56.7,2.8,2.9%,58.7%,1.9%,55.7%,41.4%,43.0%
Career (158 matches),,1.00,1.01,57.9,2.8,2.5%,57.5%,1.6%,54.4%,44.2%,44.8%
