Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2022 BJK Cup Finals RR,L vs Garcia,54.4%,45.2%,7.0%,2/2,2.51,7.0%,47.1%,50.0%,5.9%,2.32,9.4%,75.0%,40.0%,10.0%,3.08,0.0%
2022 BJK Cup Finals RR,L vs Cornet,70.0%,32.1%,2.5%,0/1,2.12,33.3%,65.6%,33.3%,0.0%,1.96,42.9%,100.0%,28.6%,14.3%,2.68,0.0%
2022 Wimbledon R64,L vs Swiatek,63.2%,56.4%,10.3%,4/5,2.52,4.7%,56.7%,55.9%,10.0%,2.61,6.8%,80.8%,57.1%,11.5%,2.31,0.0%
2022 Wimbledon R128,W vs Kartal,78.1%,61.4%,2.7%,0/2,2.71,17.5%,75.5%,67.5%,1.9%,2.72,26.3%,89.5%,47.1%,5.3%,2.70,0.0%
2022 BJK Cup Qualifiers RR,L vs Sorribes Tormo,70.7%,51.2%,0.0%,0/0,2.36,9.8%,68.4%,53.8%,0.0%,2.26,14.3%,88.2%,46.7%,0.0%,2.57,0.0%
2021 Wimbledon R128,W vs Kuznetsova,58.2%,62.5%,7.3%,2/2,2.59,29.4%,46.2%,75.0%,7.7%,2.76,47.6%,83.3%,55.0%,8.3%,2.32,0.0%
2021 BJK Cup RR,L vs Wang,58.5%,47.9%,8.5%,4/3,2.39,6.3%,50.0%,46.2%,5.8%,2.40,8.5%,81.5%,50.0%,14.8%,2.38,0.0%
2020 Australian Open Q1,L vs Guerrero Alvarez,67.7%,64.3%,9.7%,4/2,2.43,0.0%,68.2%,63.3%,9.1%,2.42,0.0%,70.6%,66.7%,11.8%,2.44,0.0%
2019 Guangzhou R32,L vs Petkovic,61.9%,63.0%,10.2%,6/6,2.67,0.0%,64.9%,66.7%,8.1%,2.70,0.0%,78.1%,56.0%,18.8%,2.63,0.0%
2019 Wimbledon R128,L vs Jorovic,73.3%,48.5%,2.2%,2/0,1.90,0.0%,67.3%,45.7%,1.9%,1.84,0.0%,93.9%,51.6%,3.0%,2.01,0.0%
2019 Wimbledon Q3,L vs Lisicki,64.9%,50.0%,10.8%,5/3,2.35,4.5%,62.5%,64.0%,5.0%,2.44,6.8%,79.3%,34.8%,20.7%,2.20,0.0%
2016 ITF Middelburg R32,L vs Stokke,73.3%,51.4%,1.0%,1/0,2.72,5.6%,66.1%,41.5%,1.6%,2.58,7.3%,89.2%,63.6%,0.0%,3.18,0.0%
Career (12 matches),,66.3%,53.8%,6.2%,53.6%,2.46,8.0%,62.4%,55.4%,4.9%,2.44,11.9%,83.7%,51.5%,9.7%,2.50,0.0%
