Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),23,1831,27,1871,27,1836,55,1725,89,1589,,,,
2025,31,1483,32,1855,23,1838,59,1717,97,1582,,,,
2024,140,426,110,1688,99,1661,111,1618,136,1522,1376,16,,
2023,280,208,352,1367,322,1355,356,1296,,,,,,
2022,290,178,349,1384,310,1366,343,1326,,,,,,
2021,574,54,,,,,,,,,,,,
2020,1519,2,,,,,,,,,1780,4,,
2019,1466,2,,,,,,,,,1732,4,,
2017,1272,4,,,,,,,,,1586,6,,
2016,799,22,,,,,,,,,,,,
2015,1896,1,,,,,,,,,,,,
