Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 ITF Funchal F,L vs Salkova,69.9%,55.6%,7.8%,6/2,2.50,4.8%,73.1%,44.7%,3.8%,2.29,8.8%,100.0%,67.6%,17.6%,2.74,0.0%
Career (1 matches),,69.9%,55.6%,7.8%,75.0%,2.50,4.8%,73.1%,44.7%,3.8%,2.29,8.8%,100.0%,67.6%,17.6%,2.74,0.0%
