Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Cosenza R32,W vs Pieri,58.0%,75.9%,0.0%,0/0,2.25,2.7%,68.2%,80.0%,0.0%,2.31,3.7%,77.8%,71.4%,0.0%,2.11,0.0%
2025 Wimbledon R128,L vs Andreeva,72.0%,41.7%,4.0%,2/0,2.43,20.4%,73.3%,36.4%,3.3%,2.43,28.2%,77.8%,50.0%,5.6%,2.43,0.0%
2025 ITF Biarritz F,W vs Rakotomanga Rajaonah,84.5%,57.1%,8.6%,2/3,2.49,0.0%,87.2%,55.9%,12.8%,2.40,0.0%,88.2%,60.0%,0.0%,2.68,0.0%
2025 Madrid R128,L vs Bouzas Maneiro,83.7%,30.6%,11.6%,2/3,2.35,4.0%,87.5%,32.1%,12.5%,2.45,5.3%,72.7%,25.0%,9.1%,2.03,0.0%
2025 Miami R64,L vs Anisimova,68.3%,14.3%,12.2%,4/1,2.62,5.6%,70.8%,11.8%,16.7%,2.65,7.1%,91.7%,18.2%,8.3%,2.51,0.0%
2024 Olympics R64,L vs Wozniacki,86.7%,48.7%,2.2%,0/2,2.50,9.3%,83.1%,44.9%,1.7%,2.46,12.1%,96.7%,55.2%,3.3%,2.64,0.0%
2024 Rabat F,L vs Stearns,85.5%,38.3%,1.8%,0/1,2.22,0.0%,88.4%,39.5%,2.3%,2.19,0.0%,75.0%,33.3%,0.0%,2.31,0.0%
2024 Rabat R32,W vs El Aouni,84.0%,61.9%,2.0%,1/0,2.21,2.3%,86.4%,60.5%,2.3%,2.36,3.2%,100.0%,75.0%,0.0%,1.85,0.0%
2023 Palermo SF,L vs Zheng,78.1%,42.7%,7.3%,2/5,-,0.0%,76.1%,37.1%,10.9%,-,0.0%,93.0%,47.5%,4.7%,-,0.0%
2023 Palermo R16,W vs Lansere,79.2%,54.8%,3.8%,2/0,2.67,4.9%,80.6%,60.0%,6.5%,2.62,6.3%,85.0%,47.1%,0.0%,2.83,0.0%
2023 Roland Garros R64,L vs Potapova,79.6%,47.6%,2.9%,2/1,2.63,6.0%,79.7%,44.7%,3.4%,2.56,8.7%,89.7%,51.4%,2.6%,2.80,0.0%
2023 Roland Garros R128,W vs Brengle,82.0%,58.5%,2.0%,0/1,2.71,7.9%,91.4%,59.4%,0.0%,2.87,12.0%,75.0%,55.6%,8.3%,2.39,0.0%
2023 Rabat R16,L vs Riera,81.5%,48.9%,0.0%,0/0,2.46,2.9%,83.3%,49.1%,0.0%,2.39,3.9%,82.5%,48.5%,0.0%,2.66,0.0%
2023 Madrid QF,L vs Sabalenka,75.3%,44.8%,3.4%,3/0,2.87,6.7%,80.9%,39.5%,2.1%,2.92,8.3%,87.9%,51.7%,6.1%,2.64,0.0%
2023 Lyon R16,L vs Noskova,67.2%,46.2%,13.8%,2/6,2.20,10.8%,70.0%,39.3%,15.0%,2.32,7.4%,64.7%,63.6%,11.8%,1.87,20.0%
2023 Australian Open R128,L vs Linette,73.1%,26.3%,3.8%,1/1,2.23,0.0%,77.1%,29.6%,0.0%,2.40,0.0%,68.8%,18.2%,12.5%,1.97,0.0%
2022 Parma F,W vs Sakkari,73.5%,58.0%,0.0%,0/0,2.21,6.0%,77.5%,54.8%,0.0%,2.28,7.7%,82.6%,63.2%,0.0%,1.95,0.0%
2021 US Open Q3,L vs Raducanu,63.8%,36.7%,4.3%,0/2,2.39,4.3%,63.9%,34.8%,5.6%,2.35,2.7%,77.8%,42.9%,0.0%,2.57,11.1%
2021 ITF San Bartolome de Tirajana F,L vs Rus,80.7%,47.8%,1.8%,1/0,2.07,8.0%,84.0%,50.0%,0.0%,2.04,12.9%,66.7%,25.0%,16.7%,2.13,0.0%
2021 Cluj Napoca F,L vs Petkovic,76.3%,24.1%,13.2%,3/2,2.19,2.6%,78.3%,33.3%,4.3%,2.14,4.0%,91.7%,9.1%,33.3%,2.27,0.0%
Last 52 Weeks (4 matches),,74.6%,50.7%,6.0%,50.0%,2.39,7.4%,80.5%,48.5%,8.1%,2.40,10.2%,79.7%,54.9%,3.1%,2.36,0.0%
Career (26 matches),,75.8%,46.3%,4.1%,50.0%,2.39,5.4%,77.7%,45.4%,4.4%,2.41,6.8%,84.9%,47.9%,4.1%,2.33,1.5%
