Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
4,Juan Pablo Ficovich [ARG],3,1,75.0%,0,0,0,-,2017,2026,3,2.47,7.4%,3.3%,74.4%,86.7%,54.8%,78.5%,53.1%,100.0%,52.0%
4,Corentin Moutet [FRA],3,1,75.0%,1,1,0,100.0%,2022,2025,4,1.12,2.8%,2.0%,65.3%,68.0%,48.5%,61.2%,43.3%,64.3%,38.3%
4,Zhe Li [CHN],3,1,75.0%,3,2,1,66.7%,2017,2018,4,1.23,9.8%,2.1%,64.5%,73.5%,56.9%,67.6%,39.9%,50.0%,30.0%
3,Mitchell Krueger [USA],2,1,66.7%,1,1,0,100.0%,2025,2026,3,1.07,9.6%,2.2%,60.7%,70.5%,57.8%,65.5%,36.9%,58.8%,36.8%
3,Daniil Medvedev [RUS],1,2,33.3%,1,1,0,100.0%,2022,2025,3,0.72,1.5%,1.5%,67.4%,62.2%,47.1%,57.3%,30.7%,65.7%,20.0%
2,Nuno Borges [POR],2,0,100.0%,3,2,1,66.7%,2022,2026,1,1.06,5.9%,5.9%,60.0%,69.4%,55.4%,63.8%,38.3%,60.0%,31.3%
2,Tristan Boyer [USA],2,0,100.0%,1,1,0,100.0%,2025,2026,2,1.32,4.8%,3.4%,64.4%,73.4%,55.8%,67.1%,43.4%,71.4%,53.3%
2,Andrey Rublev [RUS],0,2,0.0%,1,1,0,100.0%,2023,2026,2,0.80,3.6%,3.6%,57.1%,67.7%,41.7%,56.5%,34.9%,44.4%,50.0%
2,Dalibor Svrcina [CZE],1,1,50.0%,0,0,0,-,2022,2025,2,1.08,5.7%,2.8%,67.9%,55.6%,55.9%,55.7%,47.8%,73.7%,70.0%
2,Adrian Mannarino [FRA],2,0,100.0%,1,1,0,100.0%,2023,2025,2,1.09,5.8%,0.0%,65.4%,71.6%,53.7%,65.4%,37.8%,58.3%,50.0%
2,Yu Hsiou Hsu [TPE],0,2,0.0%,2,1,1,50.0%,2024,2025,2,1.01,5.5%,4.1%,61.6%,77.8%,51.8%,67.8%,32.4%,77.8%,7.7%
2,Alexei Popyrin [AUS],1,1,50.0%,0,0,0,-,2023,2025,2,0.96,7.9%,5.2%,63.3%,67.6%,51.2%,61.6%,37.0%,62.5%,66.7%
2,Michael Zheng [USA],2,0,100.0%,1,1,0,100.0%,2022,2025,1,1.41,8.3%,10.0%,58.3%,74.3%,52.0%,65.0%,49.2%,85.7%,36.4%
2,Alex Rybakov [USA],2,0,100.0%,1,1,0,100.0%,2022,2025,2,1.80,3.1%,4.2%,63.5%,80.3%,65.7%,75.0%,45.0%,50.0%,28.6%
2,Fajing Sun [CHN],2,0,100.0%,0,0,0,-,2016,2024,2,1.04,5.3%,1.3%,68.7%,63.1%,48.9%,58.7%,43.2%,58.3%,44.4%
