Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,19,Hard,44,25,19,56.8%,6,1,5,16.7%,2006,2024,QF,38,1.03,2.3%,6.3%,60.0%,61.9%,44.3%,54.8%,46.3%,57.5%,43.9%
Roland Garros,20,Clay,41,21,20,51.2%,7,2,5,28.6%,2005,2024,R16,38,1.02,1.7%,5.3%,63.9%,58.4%,44.3%,53.3%,47.5%,55.4%,49.4%
Wimbledon,17,Grass,37,19,18,51.4%,11,3,8,27.3%,2007,2025,R16,32,1.04,2.8%,5.4%,62.9%,64.8%,44.6%,57.3%,44.3%,58.0%,41.8%
US Open,17,Hard,38,21,17,55.3%,7,6,1,85.7%,2007,2023,R16,31,1.06,2.4%,6.3%,61.5%,65.2%,43.3%,56.8%,45.7%,55.8%,53.5%
Olympics,4,,8,4,4,50.0%,2,1,1,50.0%,2008,2021,R16,4,0.95,2.3%,6.8%,67.3%,60.6%,32.7%,51.5%,46.0%,54.8%,43.2%
Fed Cup,11,,16,3,13,18.8%,6,3,3,50.0%,2008,2019,,3,0.93,1.8%,5.4%,63.8%,63.6%,37.0%,54.0%,42.6%,63.9%,61.1%
Nottingham,2,Grass,5,3,2,60.0%,0,0,0,-,2023,2025,SF,5,1.10,2.5%,5.2%,65.9%,69.0%,43.2%,60.2%,43.6%,51.4%,39.6%
Strasbourg,13,Clay,26,14,12,53.8%,6,3,3,50.0%,2010,2025,W,21,0.97,2.0%,7.9%,63.2%,61.9%,39.0%,53.5%,45.3%,50.2%,51.9%
Rome,13,Clay,28,15,13,53.6%,9,4,5,44.4%,2008,2025,F,26,0.96,1.9%,5.2%,63.5%,60.0%,40.8%,53.0%,45.3%,48.1%,45.1%
Paris 125,2,Clay,6,4,2,66.7%,1,1,0,100.0%,2023,2024,QF,6,1.10,2.4%,6.4%,58.1%,62.6%,54.5%,59.2%,45.0%,57.7%,41.4%
Charleston,6,Clay,16,10,6,62.5%,2,0,2,0.0%,2008,2024,SF,16,1.10,2.4%,4.3%,63.2%,65.5%,43.7%,57.5%,46.9%,51.7%,50.0%
Miami,15,Hard,28,13,15,46.4%,7,3,4,42.9%,2008,2024,R16,28,0.97,1.9%,6.0%,63.3%,60.0%,39.1%,52.3%,46.4%,54.0%,43.4%
