Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 Roland Garros R128,L vs Zheng,15.9%,22.2%,32.0%,18.9%,29.7%,43.3%,55.6%,47.4%,77.8%,13.0%,13.0%,15.0%,18.2%,8.3%,0.0%,14
2023 Roland Garros R128,L vs Giorgi,22.1%,24.7%,30.2%,24.4%,29.3%,35.5%,40.9%,21.1%,30.0%,24.1%,24.1%,22.7%,18.2%,0.0%,0.0%,105
2023 Indian Wells R128,L vs Rodina,16.1%,21.0%,48.8%,25.8%,35.5%,47.8%,50.0%,41.2%,100.0%,9.1%,9.1%,50.0%,9.1%,0.0%,0.0%,-44
2023 Australian Open R128,L vs Fernandez,16.9%,22.5%,50.0%,15.4%,20.5%,60.6%,38.9%,28.6%,75.0%,24.0%,32.0%,31.6%,61.5%,8.3%,0.0%,97
2022 BJK Cup Finals RR,W vs Pattinama Kerkhove,27.5%,42.5%,67.9%,34.4%,46.9%,66.7%,35.7%,16.7%,-,0.0%,28.6%,71.4%,25.0%,0.0%,-,-119
2022 Monastir F,L vs Mertens,12.5%,14.6%,42.4%,12.5%,16.7%,47.6%,61.5%,36.4%,50.0%,20.0%,20.0%,33.3%,50.0%,0.0%,0.0%,25
2022 US Open R128,W vs Raducanu,6.7%,13.3%,59.6%,2.8%,13.9%,62.9%,37.5%,25.0%,25.0%,20.0%,20.0%,50.0%,42.9%,0.0%,0.0%,25
2022 Toronto R32,L vs Andreescu,20.0%,24.0%,44.4%,27.8%,35.2%,56.4%,33.3%,37.5%,100.0%,13.2%,13.2%,30.3%,28.6%,4.2%,16.7%,6
2022 Wimbledon R32,W vs Swiatek,26.7%,31.7%,52.4%,27.3%,36.4%,54.2%,73.3%,44.4%,33.3%,28.0%,28.0%,50.0%,75.0%,23.1%,50.0%,-14
2022 Rome R64,L vs Halep,13.3%,18.3%,37.5%,16.7%,22.2%,36.7%,63.2%,35.3%,100.0%,10.0%,15.0%,38.9%,50.0%,0.0%,0.0%,-23
2022 Doha R32,L vs Sabalenka,24.1%,29.3%,37.5%,28.6%,37.1%,44.0%,47.1%,38.9%,60.0%,21.1%,21.1%,26.7%,0.0%,27.3%,33.3%,81
2022 Australian Open QF,L vs Collins,24.2%,30.3%,38.0%,15.4%,20.5%,42.4%,54.5%,47.1%,66.7%,37.0%,44.4%,29.4%,30.0%,11.8%,16.7%,-104
2022 Australian Open R16,W vs Halep,13.8%,18.1%,48.6%,19.4%,24.2%,46.0%,74.2%,45.2%,42.9%,4.3%,8.7%,54.5%,58.3%,0.0%,0.0%,-83
2022 Australian Open R64,W vs Muguruza,16.0%,24.0%,76.3%,20.0%,33.3%,79.2%,46.2%,11.8%,-,12.5%,12.5%,71.4%,37.5%,0.0%,-,-4
2021 Chicago F,L vs Svitolina,13.5%,20.3%,42.6%,16.0%,26.0%,45.2%,60.0%,40.0%,33.3%,9.5%,9.5%,36.8%,42.9%,14.3%,0.0%,-23
2021 Tokyo Olympics R64,L vs Pliskova,18.2%,25.0%,32.4%,25.0%,29.2%,27.8%,58.3%,16.7%,0.0%,11.1%,22.2%,37.5%,0.0%,25.0%,0.0%,-4
2021 Wimbledon R128,W vs Andreescu,30.0%,30.0%,51.4%,28.1%,28.1%,47.8%,47.1%,33.3%,-,33.3%,33.3%,58.3%,0.0%,0.0%,0.0%,-104
2021 Berlin R16,W vs Andreescu,23.8%,33.3%,55.0%,27.3%,40.0%,60.0%,42.3%,27.6%,0.0%,20.0%,24.0%,45.0%,33.3%,15.4%,0.0%,62
2021 Dubai R32,L vs Sabalenka,15.5%,16.9%,34.5%,11.1%,13.3%,40.0%,38.1%,37.5%,40.0%,28.6%,28.6%,20.0%,41.7%,11.1%,0.0%,128
2020 US Open R16,L vs Pironkova,15.8%,22.8%,47.1%,20.8%,31.2%,52.5%,63.9%,26.8%,12.5%,7.1%,7.1%,34.6%,30.8%,0.0%,0.0%,-56
Career (48 matches),,17.2%,23.0%,47.6%,20.5%,28.4%,51.0%,48.2%,30.6%,41.3%,14.8%,17.7%,41.2%,26.6%,16.6%,13.9%,19
